ID,Você conhece e já utilizou o Simulador de Aposentadoria no SOUGOV.BR?,Acho que gostaria de utilizar o Simulador de Aposentadoria com frequência,"1
Acho que gostaria de utilizar o Simulador de Aposentadoria com frequência",Eu achei o Simulador de Aposentadoria muito complexo,"2
Eu achei o Simulador de Aposentadoria muito complexo",Eu achei o Simulador de Aposentadoria fácil de usar,"3
Eu achei o Simulador de Aposentadoria fácil de usar",Eu acho que precisaria de ajuda de uma pessoa com conhecimentos específicos para usar o Simulador de Aposentadoria,"4
Eu acho que precisaria de ajuda de uma pessoa com conhecimentos específicos para usar o Simulador de Aposentadoria",Eu achei que as várias funções do Simulador de Aposentadoria estão muito bem integradas,"5
Eu achei que as várias funções do Simulador de Aposentadoria estão muito bem integradas",Eu achei que o Simulador de Aposentadoria apresenta muita inconsistência,"6
Eu achei que o Simulador de Aposentadoria apresenta muita inconsistência",Eu imagino que as pessoas aprenderão como usar o Simulador de Aposentadoria rapidamente,"7
Eu imagino que as pessoas aprenderão como usar o Simulador de Aposentadoria rapidamente",Eu achei o Simulador de Aposentadoria difícil de usar,"8
Eu achei o Simulador de Aposentadoria difícil de usar",Eu me senti confiante usando o Simulador de Aposentadoria,"9
Eu me senti confiante usando o Simulador de Aposentadoria","Eu precisei aprender várias coisas novas antes de conseguir usar o Simulador de Aposentadoria","10
Eu precisei aprender várias coisas novas antes de conseguir usar o Simulador de Aposentadoria","Agradeço a sua participação e abro o espaço para que você possa contribuir com alguma crítica, sugestão ou elogio sobre o Simulador de Aposentadoria.","Some a pontuação total de todas as questões ímpares (questões 1, 3, 5, 7 e 9) e, em seguida, subtraia 5 do total para obter (X).","Some a pontuação total de todas as questões de número par (questões 2, 4, 6, 8 e 10), então subtraia esse total de 25 para obter (Y).","Some a pontuação total dos novos valores (X+Y) e multiplique por 2,5.",clean_text
1461,Sim,"Não concordo, nem discordo",3,Discordo parcialmente,2,Concordo totalmente,5,Discordo totalmente,1,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,Concordo parcialmente,4,Discordo totalmente,1,Concordo parcialmente,4,"Não concordo, nem discordo",3,,14,15,"72,5",
1462,Sim,Concordo totalmente,5,"Não concordo, nem discordo",3,Concordo totalmente,5,Concordo parcialmente,4,Concordo totalmente,5,"Não concordo, nem discordo",3,Concordo parcialmente,4,Discordo totalmente,1,Concordo parcialmente,4,Discordo parcialmente,2,Muito boa a iniciativa ,18,12,75,iniciativa
1464,Sim,"Não concordo, nem discordo",3,Concordo parcialmente,4,Concordo parcialmente,4,Concordo parcialmente,4,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,Discordo totalmente,1,Concordo parcialmente,4,Concordo parcialmente,4,,12,9,"52,5",
1465,Sim,Concordo parcialmente,4,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,"Parabéns pela criação do simulador de aposentadoria do servidor público! Essa ferramenta é uma grande contribuição para ajudar os profissionais a planejarem melhor seu futuro, trazendo mais clareza e segurança nas decisões. Excelente trabalho!",19,20,"97,5",parabens criacao publico ferramenta contribuicao ajudar profissional planejar futuro clareza seguranca decisao excelente trabalho
1466,Sim,Concordo parcialmente,4,Discordo totalmente,1,Concordo totalmente,5,Concordo parcialmente,4,Concordo totalmente,5,Discordo totalmente,1,Concordo parcialmente,4,Discordo totalmente,1,Concordo totalmente,5,Concordo parcialmente,4,Aproveito a ocasião para elogiá-los. O Simulador de Aposentadoria é muito fácil de ser usado e muito efetivo. Nos traz informações preciosas com muita confiabilidade.,18,14,80,aproveitar ocasiao elogia los facil efetivo informacao precioso confiabilidade
1470,Sim,Concordo parcialmente,4,Concordo parcialmente,4,Concordo parcialmente,4,Discordo parcialmente,2,Concordo parcialmente,4,Discordo parcialmente,2,Concordo parcialmente,4,Discordo parcialmente,2,Concordo parcialmente,4,Discordo parcialmente,2,,15,13,70,
1471,Sim,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,Concordo parcialmente,4,"Não concordo, nem discordo",3,Discordo totalmente,1,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,Discordo totalmente,1,,10,13,"57,5",
1473,Sim,Concordo parcialmente,4,Discordo parcialmente,2,Concordo parcialmente,4,Discordo totalmente,1,Concordo parcialmente,4,Discordo totalmente,1,Concordo parcialmente,4,Discordo totalmente,1,Concordo parcialmente,4,Concordo parcialmente,4,,15,16,"77,5",
1475,Sim,Discordo parcialmente,2,Concordo parcialmente,4,Concordo parcialmente,4,Concordo parcialmente,4,Concordo totalmente,5,Concordo parcialmente,4,Concordo parcialmente,4,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,Concordo parcialmente,4,,13,6,"47,5",
1478,Sim,Discordo totalmente,1,Discordo totalmente,1,Concordo totalmente,5,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,Concordo parcialmente,4,Discordo parcialmente,2,Discordo totalmente,1,"Não concordo, nem discordo",3,O meu tempo de serviço público anterior ao atual não aparece na simulação. ,9,13,55,publico anterior atual aparecer
1479,Sim,Concordo totalmente,5,Discordo parcialmente,2,Concordo parcialmente,4,Discordo parcialmente,2,Discordo parcialmente,2,Discordo parcialmente,2,Discordo parcialmente,2,Discordo parcialmente,2,"Não concordo, nem discordo",3,Discordo parcialmente,2,,11,15,65,
1482,Sim,Discordo parcialmente,2,Concordo totalmente,5,Discordo totalmente,1,Discordo parcialmente,2,Discordo parcialmente,2,Discordo parcialmente,2,Concordo parcialmente,4,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Nada a Declarar,5,6,"27,5",declarar
1487,Sim,Concordo parcialmente,4,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Discordo totalmente,1,Discordo parcialmente,2,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,"Não consegui usar, a simulação que fiz,, só dava erro, independente da opção que e escolhia. E para minha surpresa, o servidor do meu Rh não soube me instruir, dizendo que não tem conhecimento acerca da ferramenta.
Complicado.",4,4,20,conseguir fiz erro independente opcao escolhio surpresa instruir conhecimento ferramenta complicado
1490,Sim,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Concordo parcialmente,4,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,,20,17,"92,5",
1494,Sim,Discordo totalmente,1,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,"Não concordo, nem discordo",3,Concordo totalmente,5,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,,14,16,75,
1496,Sim,"Não concordo, nem discordo",3,Discordo totalmente,1,Concordo totalmente,5,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,"Não concordo, nem discordo",3,Concordo totalmente,5,"Não concordo, nem discordo",3,Discordo totalmente,1,O simulador não puxa o tempo total averbado não CTC.,10,8,45,puxar total averbado ctc
1499,Sim,Concordo totalmente,5,Discordo parcialmente,2,"Não concordo, nem discordo",3,Concordo parcialmente,4,"Não concordo, nem discordo",3,Discordo parcialmente,2,Concordo parcialmente,4,Discordo parcialmente,2,"Não concordo, nem discordo",3,Concordo totalmente,5,A ferramenta não apresentou a data exata e a remuneração prevista com o advento da aposentadoria.,13,10,"57,5",ferramenta data exato remuneracao prever advento
1501,Sim,Concordo parcialmente,4,"Não concordo, nem discordo",3,Discordo parcialmente,2,Concordo totalmente,5,Discordo parcialmente,2,"Não concordo, nem discordo",3,Discordo parcialmente,2,Concordo parcialmente,4,Discordo totalmente,1,"Não concordo, nem discordo",3,Não consegui realizar corretamente minha simulação.,6,7,"32,5",conseguir realizar corretamente
1503,Sim,Concordo totalmente,5,Discordo parcialmente,2,Concordo parcialmente,4,Concordo totalmente,5,Concordo parcialmente,4,"Não concordo, nem discordo",3,Concordo totalmente,5,"Não concordo, nem discordo",3,Discordo parcialmente,2,"Não concordo, nem discordo",3,,15,9,60,
1506,Sim,Discordo parcialmente,2,Discordo parcialmente,2,Discordo parcialmente,2,Discordo parcialmente,2,Discordo totalmente,1,Discordo parcialmente,2,Discordo totalmente,1,Discordo parcialmente,2,Discordo totalmente,1,Discordo parcialmente,2,,2,15,"42,5",
1507,Sim,Concordo parcialmente,4,Concordo parcialmente,4,Concordo parcialmente,4,Discordo parcialmente,2,Discordo parcialmente,2,"Não concordo, nem discordo",3,Discordo parcialmente,2,Concordo parcialmente,4,Concordo parcialmente,4,Concordo parcialmente,4,Deveria ser melhor explicado.,11,8,"47,5",explicar
1510,Sim,Concordo totalmente,5,Discordo parcialmente,2,Concordo totalmente,5,Concordo totalmente,5,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,,20,15,"87,5",
1512,Sim,Concordo parcialmente,4,Discordo parcialmente,2,Concordo parcialmente,4,Discordo totalmente,1,Concordo parcialmente,4,Concordo parcialmente,4,Concordo parcialmente,4,Discordo totalmente,1,Discordo totalmente,1,Discordo totalmente,1,"Está com erro na soma do tempo, já tentei mandar mensagens várias vezes, mas o e-mail informado anteriormente não é e-mail válido. 

Entrada no serviço público em um único cargo até dias atuais 03/03/1997, aí da que tem só 24 anos até o dia de hoje. ",12,16,70,erro soma mandar mensagem varias mail informar anteriormente mail valido entrada publico unico cargo dia atual ano dia hoje
1514,Sim,Concordo parcialmente,4,Discordo totalmente,1,Concordo parcialmente,4,Discordo totalmente,1,Concordo parcialmente,4,Discordo totalmente,1,Concordo parcialmente,4,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,"Os botões para saída dos arquivos devem ser mais explicativos, intuitivos ",16,20,90,botao saida arquivo explicativo intuitivo
1516,Sim,Concordo totalmente,5,Discordo parcialmente,2,Concordo parcialmente,4,Discordo parcialmente,2,Discordo parcialmente,2,Discordo parcialmente,2,"Não concordo, nem discordo",3,Discordo parcialmente,2,Discordo parcialmente,2,Concordo parcialmente,4,"Gostei muito do simulador, porém tive dificuldades no primeiro momento para entender.",11,13,60,gostar dificuldade entender
1518,Sim,"Não concordo, nem discordo",3,Concordo parcialmente,4,Concordo parcialmente,4,Discordo totalmente,1,"Não concordo, nem discordo",3,Discordo parcialmente,2,Concordo parcialmente,4,Discordo totalmente,1,"Não concordo, nem discordo",3,Discordo totalmente,1,"No meu caso o tempo de contribuição está errado. Apesar de constar  a data de admissão ser correta 23/02/95, o tempo que consta é 25 anos e 1mes, sendo q hoje tenho  29 a 7m. 
Então o simulador está no meu caso  fazendo o cálculo errado.
",12,16,70,contribuicao errado apesar constar data admissao corretar constar ano hoje calculo errar
1521,Sim,Concordo parcialmente,4,Discordo totalmente,1,Discordo parcialmente,2,Discordo parcialmente,2,Discordo parcialmente,2,Discordo parcialmente,2,Discordo totalmente,1,Discordo parcialmente,2,Discordo totalmente,1,Discordo parcialmente,2,Achei interessante. A tendência é melhorar. ,5,16,"52,5",interessante tendencia melhorar
1522,Sim,Concordo parcialmente,4,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,Discordo totalmente,1,Discordo parcialmente,2,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,Discordo totalmente,1,Discordo totalmente,1,"O Simulador de aposentadoria não é claro quanto ao valor final que o Servidor irá receber. Além disso, desconsidera no cálculo a possibilidade de um servidor que ingressou no serviço público como deficiente veja sua real situação, haja vista que desconsidera a legislação relativa ao assunto que diminuiu o tempo de contribuição e idade para aposentadoria.",8,14,55,claro receber desconsiderar calculo possibilidade ingressar publico deficiente real situacao desconsiderar legislacao relativo assunto diminuir contribuicao idade
1523,Sim,Concordo totalmente,5,Discordo parcialmente,2,Concordo parcialmente,4,Discordo parcialmente,2,Concordo totalmente,5,"Não concordo, nem discordo",3,Concordo parcialmente,4,Discordo parcialmente,2,Concordo parcialmente,4,Discordo parcialmente,2,Seria interessante e necessário vir o resumo de vínculos fora do tempo de serviço público que estão sendo considerados,17,14,"77,5",interessante necessario vir resumo vinculo publico considerar
1524,Sim,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Perfeito ,20,20,100,perfeito
1526,Sim,Concordo parcialmente,4,Concordo parcialmente,4,Concordo totalmente,5,Concordo parcialmente,4,Concordo parcialmente,4,Concordo parcialmente,4,Concordo parcialmente,4,Concordo parcialmente,4,Concordo parcialmente,4,Concordo parcialmente,4,Nada a declarar minhas dúvidas foram tiradas com exitos,16,5,"52,5",declarar duvida tirar exito
1528,Sim,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,,20,20,100,
1530,Sim,Discordo totalmente,1,"Não concordo, nem discordo",3,Discordo totalmente,1,"Não concordo, nem discordo",3,Discordo totalmente,1,"Não concordo, nem discordo",3,Discordo totalmente,1,"Não concordo, nem discordo",3,Discordo totalmente,1,"Não concordo, nem discordo",3,,0,10,25,
1532,Sim,"Não concordo, nem discordo",3,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo parcialmente,4,Discordo totalmente,1,"Não concordo, nem discordo",3,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,"Realizei a minha simulação para verificar as condições e solicitei meu pedido, e já estou aposentado desde 07/10/24. ",15,20,"87,5",realizeir verificar condicao solicitei pedido aposentado
1536,Sim,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,"Não sei se é o fato de ser algo novo portanto posso não ter ainda conhecimento pleno do simulador mas gostaria de ver nas simulações a informação sobre as regras de reajuste. Sei, por exemplo, que existem opções em que o reajuste acompanhará o que for definido para o pessoal da ativa de minha carreira ou poderei optar por reajuste anual independente do que for definido para o pessoal da ativa.
",20,20,100,fato conhecimento pleno gostar informacao regra reajuste existir opcao reajuste acompanhar definir pessoal ativa carreira poderei optar reajuste anual independente definir pessoal ativa
1539,Sim,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Discordo parcialmente,2,Discordo parcialmente,2,Discordo parcialmente,2,Discordo totalmente,1,Discordo totalmente,1,Discordo totalmente,1,Inclusão de informações sobre averbações realizadas e que podem compor a aposentadoria.,10,19,"72,5",inclusao informacao averbacao realizar compor
1540,Sim,Concordo parcialmente,4,"Não concordo, nem discordo",3,Concordo parcialmente,4,"Não concordo, nem discordo",3,Concordo parcialmente,4,"Não concordo, nem discordo",3,Concordo parcialmente,4,"Não concordo, nem discordo",3,Concordo parcialmente,4,"Não concordo, nem discordo",3,,15,10,"62,5",
1542,Sim,Concordo totalmente,5,Discordo parcialmente,2,Concordo parcialmente,4,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,Concordo parcialmente,4,"Não concordo, nem discordo",3,Concordo parcialmente,4,Discordo totalmente,1,Discordo parcialmente,2,Ideal seria que o Simulador sugerisse a Aposentadoria mais vantajosa para o Servidor.,11,10,"52,5",ideal sugerir vantajoso
1543,Sim,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Sem sugestões ,20,20,100,sugestao
1544,Sim,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,"Não concordo, nem discordo",3,Discordo parcialmente,2,Concordo totalmente,5,Discordo parcialmente,2,Concordo totalmente,5,"Não concordo, nem discordo",3,,18,16,85,
1545,Sim,Concordo totalmente,5,Concordo totalmente,5,Concordo totalmente,5,Concordo totalmente,5,Concordo totalmente,5,Concordo totalmente,5,Concordo totalmente,5,Concordo totalmente,5,Concordo totalmente,5,Concordo totalmente,5,,20,0,50,
1552,Sim,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo parcialmente,2,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Concordo totalmente,5,Concordo totalmente,5,Discordo parcialmente,2,Eu achei o Simulador de Aposentadoria fácil de usar. ,20,14,85,facil
1555,Sim,Concordo parcialmente,4,"Não concordo, nem discordo",3,Concordo parcialmente,4,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,Concordo parcialmente,4,Discordo parcialmente,2,Concordo parcialmente,4,Concordo parcialmente,4,,14,10,60,
1556,Sim,Concordo parcialmente,4,Discordo parcialmente,2,Concordo parcialmente,4,"Não concordo, nem discordo",3,Concordo parcialmente,4,Discordo parcialmente,2,Concordo parcialmente,4,Discordo parcialmente,2,Discordo parcialmente,2,Discordo parcialmente,2,"Poderia constar tempo de serviço prestado a outros órgãos da administração, seja direta ou indireta. Trabalhei na CEF e não tem o tempo de serviço lá prestado. Optei pelo ingresso na Funpresp e o tempo de caixa econômica conta pra aposentadoria ",13,14,"67,5",constar prestar outro orgao administracao direto indireto trabalhei cef prestar optei ingresso funpresp caixa economico contar pra
1558,Sim,Concordo parcialmente,4,"Não concordo, nem discordo",3,Concordo parcialmente,4,Concordo totalmente,5,"Não concordo, nem discordo",3,Concordo parcialmente,4,Concordo parcialmente,4,Concordo parcialmente,4,Concordo parcialmente,4,Concordo parcialmente,4,,14,5,"47,5",
1560,Sim,Concordo parcialmente,4,Discordo totalmente,1,Concordo parcialmente,4,Concordo parcialmente,4,Concordo parcialmente,4,"Não concordo, nem discordo",3,Concordo parcialmente,4,Discordo totalmente,1,Concordo parcialmente,4,Discordo totalmente,1,,15,15,75,
1561,Sim,Concordo parcialmente,4,Concordo totalmente,5,Discordo parcialmente,2,Concordo totalmente,5,Discordo parcialmente,2,Concordo totalmente,5,Discordo parcialmente,2,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,,6,0,15,
1563,Sim,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Concordo parcialmente,4,Concordo parcialmente,4,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,"Achei maravilhosa iniciativa. Seria ótimo se o Servidor tivesse também um canal para atendê-lo, especialmente quando quiser solicitar exclusão de tempo de contribuição para efeito de aposentadoria ou cancelar averbação de tempo de contribuição ou mesmo sanar alguma dúvida. INFELIZMENTE, o servidor hoje está totalmente ABANDONADO. NÃO TEM MAIS RH, e nenhum suporte para ajudá-lo.",19,17,90,maravilhosa iniciativa canal atende especialmente querer solicitar exclusao contribuicao efeito cancelar averbacao contribuicao sanar algum duvida infelizmente hoje totalmente abandonar nenhum suporte ajudar
1564,Sim,Discordo parcialmente,2,Discordo parcialmente,2,"Não concordo, nem discordo",3,Discordo parcialmente,2,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,,9,12,"52,5",
1567,Sim,Concordo parcialmente,4,"Não concordo, nem discordo",3,Concordo parcialmente,4,Concordo totalmente,5,Discordo parcialmente,2,Concordo totalmente,5,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,Discordo parcialmente,2,"Não concordo, nem discordo",3,,10,6,40,
1571,Sim,Concordo parcialmente,4,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,"Tenho 41 anos de trabalho no SPF, poderiam excluir alternativas de aposentadoria que não me favoreçam, deixar somente a mais benéfica. Poupa tempo de conferência. ",19,20,"97,5",ano trabalho spf excluir alternativa favorecar deixar benefico poupar conferencia
1580,Sim,Concordo totalmente,5,Concordo parcialmente,4,Concordo totalmente,5,Concordo parcialmente,4,Concordo totalmente,5,Discordo totalmente,1,Concordo parcialmente,4,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,,19,14,"82,5",
1584,Sim,Concordo parcialmente,4,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo parcialmente,2,Concordo totalmente,5,Discordo parcialmente,2,Concordo totalmente,5,Discordo parcialmente,2,"Não concordo, nem discordo",3,"Tentei usar o simulador, mas infelizmente não consegui o que precisava, pois parece que o sistema desconsidera as informações funcionais já existentes e não faz o cálculo. Lamentável não ter uma calculadora pra simular aposentadoria de forma transparente.",6,2,20,infelizmente conseguir precisar parecer desconsiderar informacao funcional existente calculo lamentavel calculadora pra transparente
1585,Sim,Concordo totalmente,5,Discordo parcialmente,2,Concordo parcialmente,4,"Não concordo, nem discordo",3,Concordo parcialmente,4,"Não concordo, nem discordo",3,Concordo parcialmente,4,Discordo parcialmente,2,Concordo parcialmente,4,Discordo totalmente,1,,16,14,75,
1588,Sim,Concordo parcialmente,4,Discordo parcialmente,2,"Não concordo, nem discordo",3,Discordo totalmente,1,Discordo parcialmente,2,Discordo parcialmente,2,Discordo parcialmente,2,Discordo totalmente,1,Discordo parcialmente,2,Discordo parcialmente,2,"Já que é um simulador, deveria ter um modo de simular, já que esse é travado, não deixa incluir tempo de RGPS para simular a aposentadoria, além disso não apresenta a opção para quem é PCD simular com base na Lei 142 - Aposentadoria do deficiente, no restante está bom",8,17,"62,5",modo travar deixar incluir rgp opcao pcd base lei deficiente restante
1589,Sim,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo parcialmente,4,Discordo parcialmente,2,Concordo totalmente,5,Discordo totalmente,1,Concordo parcialmente,4,Discordo totalmente,1,,18,19,"92,5",
1591,Sim,Concordo totalmente,5,"Não concordo, nem discordo",3,Concordo totalmente,5,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,Discordo parcialmente,2,"Não concordo, nem discordo",3,Discordo parcialmente,2,Discordo parcialmente,2,Discordo parcialmente,2,Bem interessante. Já faz parte do meu cotidiano,13,13,65,interessante cotidiano
1592,Sim,Concordo parcialmente,4,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,,19,20,"97,5",
1593,Sim,Concordo totalmente,5,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,Concordo parcialmente,4,Discordo parcialmente,2,"Não concordo, nem discordo",3,,9,5,35,
1594,Sim,Concordo totalmente,5,Discordo parcialmente,2,Concordo parcialmente,4,Discordo totalmente,1,Concordo parcialmente,4,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo parcialmente,4,Concordo totalmente,5,No meu caso ainda falta muito tempo para aposentadoria e não consegui chegar ao final da simulação porque não tinha um dado que estava sendo solicitado. ,17,15,80,faltar conseguir chegar dado solicitar
1595,Sim,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,,20,20,100,
1599,Sim,Concordo totalmente,5,Concordo totalmente,5,Concordo parcialmente,4,Concordo parcialmente,4,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,Concordo totalmente,5,Discordo parcialmente,2,Concordo totalmente,5,"Achei difícil encontrar a melhor opção, a que favorece ao servidor, uma vez que não tenho conhecimento profundo das leis.",12,3,"37,5",dificil encontrar opcao favorecer conhecimento profur lei
1604,Sim,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo parcialmente,4,Discordo parcialmente,2,Concordo totalmente,5,Discordo totalmente,1,Concordo parcialmente,4,Discordo totalmente,1,"O simulador de aposentadoria é um avanço importante como meio de acesso, orientação, informação e prestação de serviço ao servidor público.
Sugiro que relativo as informações da contagem de tempo dos servicos particulares para averbação, já sejam extraídas do banco de dados oficial da previdência social, a fim de se evitar transtornos com  solicitação de certidões, visto que o SOUGOV já poderia autenticar tais informações como oficiais por ser o sítio oficial do Governo Federal,",18,19,"92,5",avanco importante acesso orientacao informacao prestacao publico sugiro relativo informacao contagem particular averbacao extraidas banco dado oficial previdencia social evitar transtorno solicitacao certidao sougov autenticar informacao oficial sitio oficial governo federal
1608,Sim,Discordo parcialmente,2,Discordo parcialmente,2,Discordo parcialmente,2,Discordo parcialmente,2,Discordo parcialmente,2,Discordo parcialmente,2,Discordo parcialmente,2,Discordo parcialmente,2,Discordo parcialmente,2,Discordo parcialmente,2,,5,15,50,
1609,Sim,"Não concordo, nem discordo",3,Discordo parcialmente,2,Concordo parcialmente,4,Discordo totalmente,1,Concordo parcialmente,4,Discordo totalmente,1,Concordo parcialmente,4,Discordo parcialmente,2,Concordo parcialmente,4,Discordo totalmente,1,,14,18,80,
1610,Sim,Concordo parcialmente,4,Discordo parcialmente,2,Concordo parcialmente,4,Discordo parcialmente,2,Concordo parcialmente,4,Discordo parcialmente,2,Concordo parcialmente,4,Discordo parcialmente,2,Concordo parcialmente,4,Concordo parcialmente,4,,15,13,70,
1614,Sim,Concordo totalmente,5,Concordo parcialmente,4,Discordo parcialmente,2,Concordo parcialmente,4,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,Concordo parcialmente,4,Concordo parcialmente,4,Discordo parcialmente,2,"Numa palestra que assisti sobre aposentadoria foi falado que podemos solicitar exclusão de remunerações para melhorar a renda final, mas no simulador não existe essa possibilidade . Gostaria que o simulador apresentasse opções de descarte de contribuições com a renda média projetada para podermos analisar o que seria melhor pra nós , se com o descarte de algumas contribuições ou não , para podermos optar pela renda mais vantajosa com mais segurança . ",12,8,50,palestra assisti falar solicitar exclusao remuneracao melhorar renda existir possibilidade gostar opcao descarte contribuicao renda medio projetar analisar pra descarte algum contribuicao optar renda vantajoso seguranca
1618,Sim,Discordo totalmente,1,Discordo totalmente,1,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,Concordo parcialmente,4,Discordo parcialmente,2,Concordo parcialmente,4,Discordo totalmente,1,"Depois do golpe e da ""reforma trabalhista de 2019"", o simulador não muita diferença....praticamente todos vão se aposentar com 65 anos...ou menos com perdas salariais importantes...e sem paridade.

Enfim, não tem muito o que simular!",10,15,"62,5",golpe reforma trabalhista diferenca praticamente ano perda salarial importante paridade enfim
1621,Sim,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Concordo parcialmente,4,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo parcialmente,4,Discordo totalmente,1,"Não consegui compreender qual a melhor data para a minha aposentadoria.
Qual a melhor proposta financeira.",19,17,90,conseguir compreender data proposta financeiro
1622,Sim,"Não concordo, nem discordo",3,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Concordo totalmente,5,Concordo totalmente,5,Discordo totalmente,1,,18,16,85,
