ID,Você conhece e já utilizou o Simulador de Aposentadoria no SOUGOV.BR?,Acho que gostaria de utilizar o Simulador de Aposentadoria com frequência,"1
Acho que gostaria de utilizar o Simulador de Aposentadoria com frequência",Eu achei o Simulador de Aposentadoria muito complexo,"2
Eu achei o Simulador de Aposentadoria muito complexo",Eu achei o Simulador de Aposentadoria fácil de usar,"3
Eu achei o Simulador de Aposentadoria fácil de usar",Eu acho que precisaria de ajuda de uma pessoa com conhecimentos específicos para usar o Simulador de Aposentadoria,"4
Eu acho que precisaria de ajuda de uma pessoa com conhecimentos específicos para usar o Simulador de Aposentadoria",Eu achei que as várias funções do Simulador de Aposentadoria estão muito bem integradas,"5
Eu achei que as várias funções do Simulador de Aposentadoria estão muito bem integradas",Eu achei que o Simulador de Aposentadoria apresenta muita inconsistência,"6
Eu achei que o Simulador de Aposentadoria apresenta muita inconsistência",Eu imagino que as pessoas aprenderão como usar o Simulador de Aposentadoria rapidamente,"7
Eu imagino que as pessoas aprenderão como usar o Simulador de Aposentadoria rapidamente",Eu achei o Simulador de Aposentadoria difícil de usar,"8
Eu achei o Simulador de Aposentadoria difícil de usar",Eu me senti confiante usando o Simulador de Aposentadoria,"9
Eu me senti confiante usando o Simulador de Aposentadoria",Eu precisei aprender várias coisas novas antes de conseguir usar o Simulador de Aposentadoria,"10
Eu precisei aprender várias coisas novas antes de conseguir usar o Simulador de Aposentadoria","Agradeço a sua participação e abro o espaço para que você possa contribuir com alguma crítica, sugestão ou elogio sobre o Simulador de Aposentadoria.","Some a pontuação total de todas as questões ímpares (questões 1, 3, 5, 7 e 9) e, em seguida, subtraia 5 do total para obter (X).","Some a pontuação total de todas as questões de número par (questões 2, 4, 6, 8 e 10), então subtraia esse total de 25 para obter (Y).","Some a pontuação total dos novos valores (X+Y) e multiplique por 2,5.",clean_text,comment_in_english
1335,Sim,Concordo totalmente,5,Discordo parcialmente,2,Concordo totalmente,5,Discordo parcialmente,2,Concordo totalmente,5,Discordo parcialmente,2,Concordo parcialmente,4,Discordo parcialmente,2,Concordo parcialmente,4,Discordo parcialmente,2,"Agradeço a oportunidade. Estou com processo de aposentadoria mas a ""gestão de pessoas"" do IFMG-GV dispôs uma simulação com previsão diferente. Só que as certidões de tempo de contribuição são as mesmas que alimentei esse app e que eu juntei ao meu órgão, no processo de aposentadoria. O que vocês acham?",18,15,"82,5",agradeco oportunidade processo gestao pessoa ifmg dispor previsao diferente certidao contribuicao mesma alimentar app juntar orgao processo,"I appreciate the opportunity. I am in the process of retiring but ifmg-gv's ""people management"" provided a simulation with a different forecast. but the contribution time certificates are the same ones that I fed into this app and that I added to my organization, in the retirement process. what do you think?"
1339,Sim,Concordo parcialmente,4,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,"Não concordo, nem discordo",3,"Entro com TODAS as simulações possíveis e nenhuma me apresenta um resultado com as informações que deveriam aparecer: aparecem em branco ou R$0,00 por exemplo. Em NENHUMA opção eu consigo simular, enquanto outros colegas servidores aparecem as informações. Há necessidade de aprimoramento de plataforma para incluir a simulação de todos os servidores federais, incluindo docentes.",3,2,"12,5",entro nenhum resultado informacao aparecer aparecer branco nenhum opcao consigo outro colega aparecer informacao necessidade aprimoramento plataforma incluir federal incluir docente,"I enter all possible simulations and none of them show me a result with the information that should appear: they appear blank or R$0.00 for example. In no option can I simulate, while other fellow servers show the information. There is a need to improve the platform to include simulation for all federal employees, including teachers."
1341,Sim,Concordo parcialmente,4,Discordo parcialmente,2,Concordo parcialmente,4,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,Discordo parcialmente,2,Concordo parcialmente,4,Discordo parcialmente,2,"Não concordo, nem discordo",3,Discordo parcialmente,2,"Os dados parecem bem claros, poderiam usar cores para enfatizar as opções de aposentadoria.",13,14,"67,5",dado parecer claro cor enfatizar opcao,"The data seems very clear, colors could be used to emphasize retirement options."
1343,Sim,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo parcialmente,2,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Ótima iniciativa que muito contribui para o planejamento de vida do servidor público.,20,19,"97,5",otimo iniciativa contribuir planejamento vida publico,Great initiative that greatly contributes to the life planning of public servants.
1344,Sim,Concordo parcialmente,4,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Discordo totalmente,1,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Não possuo,15,20,"87,5",possuor,I don't own
1345,Sim,Concordo totalmente,5,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,"Não concordo, nem discordo",3,Concordo totalmente,5,Discordo parcialmente,2,Discordo parcialmente,2,Discordo totalmente,1,Concordo totalmente,5,"Não tenho conhecimento suficiente para entender as simulações apresentadas no simulador. 
São tantas leis que acabei me perdendo no meio do caminho.
Com certeza se faz necessária a presença de um servidor com total conhecimento de leis para explicar qual a real situação quando da época de minha aposentadoria.
Mas acho válido o simulador e parabenizo quem o idealizou.",7,3,25,conhecimento suficiente entender lei acabar perder necessario presenca total conhecimento lei explicar real situacao epoca valido parabenizo idealizar,I don't have enough knowledge to understand the simulations presented in the simulator. There are so many laws that I ended up getting lost along the way. The presence of a server with full knowledge of the laws is certainly necessary to explain the real situation at the time of my retirement. But I think the simulator is valid and I congratulate whoever designed it .
1346,Sim,Concordo parcialmente,4,Discordo parcialmente,2,Concordo parcialmente,4,Discordo parcialmente,2,Concordo parcialmente,4,Discordo parcialmente,2,Concordo parcialmente,4,Discordo parcialmente,2,Concordo parcialmente,4,Discordo parcialmente,2,Acho que deveriam incrementar o simulador com perguntas sobre se a aposentadoria é com isenção de imposto de renda ou por invalidez,15,15,75,incrementar pergunta isencao imposto renda invalidez,I think they should increase the simulator with questions about whether retirement is exempt from income tax or due to disability
1352,Sim,Discordo parcialmente,2,Discordo parcialmente,2,Concordo parcialmente,4,Discordo parcialmente,2,Concordo parcialmente,4,Discordo parcialmente,2,Concordo parcialmente,4,Discordo parcialmente,2,Concordo parcialmente,4,Discordo totalmente,1,Não,13,16,"72,5",,No
1355,Sim,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Discordo parcialmente,2,Discordo parcialmente,2,"Foi uma iniciativa muito relevante. Gostaria de sugerir se possível, já que está simulando valores, mais detalhes , quase como um contra cheque de aposentado.",17,19,90,iniciativa relevante gostar sugerir detalhe quase cheque,"It was a very relevant initiative. I would like to suggest, if possible, since it is simulating values, more details, almost like a retiree's paycheck."
1357,Sim,Concordo parcialmente,4,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Discordo totalmente,1,Concordo totalmente,5,Concordo totalmente,5,Discordo totalmente,1,Discordo totalmente,1,Discordo totalmente,1,"No meu caso o simulador de aposentadoria está totalmente desatualizado, pois tenho 43 (quarenta e três) anos de serviço público e, nele, consta apenas um ano. Alguém inseriu meus dados de forma incorreta.
Entrei no Ministério do Trabalho no dia 19 de julho de 1984 e, tenho mais três anos, já averbados, do Ministério do Exército. 
Minha  matrícula é 0250969 (caso queira conferir.",11,16,"67,5",totalmente desatualizar quarenta ano publico constar ano alguem inserir dado incorreto entrar ministerio trabalho dia julho ano averbar ministerio exercito matricula querer conferir,"In my case, the retirement simulator is completely out of date, as I have 43 (forty-three) years of public service and it only contains one year. Someone entered my data incorrectly. I joined the Ministry of Labor on July 19, 1984 and I have three more years, already registered, of the Ministry of the Army. my registration number is 0250969 (if you want to check."
1358,Sim,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Concordo totalmente,5,Concordo totalmente,5,Discordo totalmente,1,"
Está faltando a aposentadoria do deficiente. Seria importantíssimo abranger os deficientes.

",20,16,90,faltar deficiente importantissimo abranger deficiente,Retirement for the disabled is missing. It would be extremely important to cover the disabled.
1374,Sim,"Não concordo, nem discordo",3,Concordo parcialmente,4,Discordo parcialmente,2,Concordo parcialmente,4,Discordo parcialmente,2,"Não concordo, nem discordo",3,Concordo parcialmente,4,Discordo parcialmente,2,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,"Com tantas variantes fica difícil avaliar a melhor opção de aposentadoria, sem ter o conhecimento específico do RH",9,9,45,variante dificil avaliar opcao conhecimento especifico,"With so many variants, it is difficult to evaluate the best retirement option without having specific knowledge of HR"
1381,Sim,Concordo parcialmente,4,Concordo parcialmente,4,Concordo parcialmente,4,Discordo parcialmente,2,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,Concordo parcialmente,4,Discordo parcialmente,2,Concordo parcialmente,4,Discordo parcialmente,2,Sem nada à acrescentar no momento,14,12,65,acrescentar,Nothing to add at the moment
1382,Sim,Concordo totalmente,5,Discordo parcialmente,2,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,"Sugiro criar um canal para tirar dúvidas a respeito da simulação de aposentadoria. No meu caso, veirifiquei alguns valores destoantes que não entendi e não tinha a quem recorrer para sanar minha dúvida.",20,19,"97,5",sugiro criar canal tirar duvida respeito veirifiqueir algum destoante entendi recorrer sanar duvida,"I suggest creating a channel to answer questions about the retirement simulation. In my case, I saw some conflicting values ​​that I didn't understand and I had no one to turn to to resolve my doubts."
1384,Sim,Concordo totalmente,5,Discordo parcialmente,2,Concordo parcialmente,4,Concordo parcialmente,4,Discordo parcialmente,2,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,Discordo totalmente,1,Discordo parcialmente,2,"Não concordo, nem discordo",3,Falta o cálculo do benefício especial.,11,12,"57,5",faltar calculo beneficio especial,The calculation of the special benefit is missing.
1392,Sim,"Não concordo, nem discordo",3,Discordo parcialmente,2,Concordo parcialmente,4,Discordo parcialmente,2,"Não concordo, nem discordo",3,Discordo parcialmente,2,Concordo totalmente,5,Discordo parcialmente,2,Concordo parcialmente,4,Discordo totalmente,1,"A simulação não deixa claro qual seria o valor do benefício a que o servidor teria direito, caso continuasse no mesmo cargo atual até atingir os requisitos.",14,16,75,deixar claro beneficio direito continuar cargo atual atingir requisito,The simulation does not make it clear what the value of the benefit the employee would be entitled to if he or she continued in the same current position until meeting the requirements.
1405,Sim,Concordo totalmente,5,Discordo parcialmente,2,Concordo totalmente,5,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,Concordo parcialmente,4,Concordo parcialmente,4,Discordo totalmente,1,Concordo totalmente,5,Concordo totalmente,5,Gostei desse simulador porque não tínhamos como consultar ,17,10,"67,5",gostar consultar,I liked this simulator because we had no way to consult
1407,Sim,Concordo totalmente,5,Concordo totalmente,5,Concordo totalmente,5,Concordo totalmente,5,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Concordo totalmente,5,Concordo totalmente,5,Discordo totalmente,1,Poderia transformar o simulador numa forma de requerer a aposentadoria ,20,8,70,transformar requerer,Could turn the simulator into a way to apply for retirement
1410,Sim,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo parcialmente,4,Discordo totalmente,1,Muito bom. Simples . A maior dúvida recai nos fundamentos legais  em que se baseiam os cálculos. A apresentação  de 3 opções de simulação me confundiu um pouco mas  bastou ler os fundamentos com calma para entender. Talvez isto possa impactar com outros servidores. ,19,20,"97,5",simples duvida recair fundamento legal basear calculo apresentacao opcao confundir bastar ler fundamento calma entender impactar outro,Very good. simple . The biggest doubt lies in the legal foundations on which the calculations are based. The presentation of 3 simulation options confused me a little but I just had to read the basics calmly to understand. Maybe this could impact other servers.
1412,Sim,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo parcialmente,4,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,"Excelente ferramenta no apoio à decisão da aposentadoria, parabéns pela iniciativa. ",19,20,"97,5",excelente ferramentar decisao parabens iniciativa,"Excellent tool to support retirement decisions, congratulations on the initiative."
1421,Sim,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo parcialmente,2,Obrigado! ,20,19,"97,5",obrigar,Thanks!
1426,Sim,Concordo totalmente,5,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,Concordo parcialmente,4,Concordo totalmente,5,"Não concordo, nem discordo",3,Discordo parcialmente,2,"Não concordo, nem discordo",3,Concordo parcialmente,4,Quando aparecer inconsistência informar quais os canais que devem ser procurados para solicitar correção e/ou esclarecimentos. ,13,8,"52,5",aparecer inconsistencia informar canal procurar solicitar correcao esclarecimento,"When inconsistencies appear, inform which channels should be sought to request correction and/or clarifications."
1431,Sim,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,"Gostei muito de utilizar o Simulador de Aposentadoria, pois antes de entrar em funcionamento esta ferramenta no SOUGOV, eu tinha que recorrer à internet para fazer a simulação da minha aposentadoria.  Achei uma ferramenta fácil de usar.  Ademais, as informações fornecidas pelo Simulador de Aposentadoria vão me permitir realizar um planejamento mais concreto sobre o meu futuro.   ",20,20,100,gostar utilizar entrar funcionamento ferramenta sougov recorrer internet ferramenta facil ademal informacao fornecir permitir realizar planejamento concreto futuro,"I really enjoyed using the retirement simulator, because before this tool came into operation on sougov, I had to use the internet to simulate my retirement.  I found it to be an easy to use tool.  Furthermore, the information provided by the retirement simulator will allow me to carry out more concrete planning about my future."
1437,Sim,Concordo totalmente,5,Concordo parcialmente,4,Discordo parcialmente,2,Concordo parcialmente,4,Concordo parcialmente,4,Discordo parcialmente,2,Concordo totalmente,5,Concordo parcialmente,4,Discordo totalmente,1,Concordo parcialmente,4,"A crítica que faço ao simulador de aposentadoria é que não possibilita uma simulação para o servidor que fez opção, nos termos da lei nº 14.463, de 26 de outubro de 2022, pelo  Regime de Previdência Complementar de que trata a Lei nº 12.618, de 30 de abril de 2012, pois não calcula o Benefício Especial (BE).",12,7,"47,5",critico possibilitar opcao termo lei outubro regime previdencia complementar tratar lei abril calcular beneficio especial,"The criticism I make of the retirement simulator is that it does not allow a simulation for the public servant who opted, under the terms of law no. April 30, 2012, as it does not calculate the special benefit (be)."
1440,Sim,Discordo parcialmente,2,Concordo parcialmente,4,Concordo totalmente,5,Discordo totalmente,1,Concordo parcialmente,4,Concordo totalmente,5,Concordo totalmente,5,Discordo totalmente,1,Concordo parcialmente,4,Discordo totalmente,1,"Apesar da data de ingresso no serviço público estar correta, a contagem do meu tempo de contribuição está errada.",15,13,70,apesar data ingresso publico correto contagem contribuicao errado,"Although the date of entry into public service is correct, the count of my contribution time is wrong."
1447,Sim,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,Concordo totalmente,5,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,Concordo totalmente,5,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,O simulador não traz a opção para servidores com deficiência fazerem simulações de acordo com suas particularidades. ,12,8,50,opcao deficiencia acordo particularidade,The simulator does not provide the option for disabled employees to carry out simulations according to their particularities.
1452,Sim,"Não concordo, nem discordo",3,Discordo totalmente,1,Concordo totalmente,5,Discordo parcialmente,2,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Discordo parcialmente,2,Discordo parcialmente,2,Facil de usar.,15,18,"82,5",facil,Easy to use.
1460,Sim,Concordo totalmente,5,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,Discordo parcialmente,2,Discordo parcialmente,2,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,Discordo parcialmente,2,"Não concordo, nem discordo",3,"O cálculo do valor da aposentadoria não considera as contribuições feitas no Regime Geral, depois de julho de 1994. Se estes valores fizerem parte do cálculo do valor da aposentadoria, deveria haver uma nota alertando para este fato. ",10,11,"52,5",calculo considerar contribuicao regime julho fizer calculo nota alertar fato,"The calculation of the retirement value does not take into account contributions made under the general regime after July 1994. If these values ​​are part of the calculation of the retirement value, there should be a note alerting you to this fact."
1462,Sim,Concordo totalmente,5,"Não concordo, nem discordo",3,Concordo totalmente,5,Concordo parcialmente,4,Concordo totalmente,5,"Não concordo, nem discordo",3,Concordo parcialmente,4,Discordo totalmente,1,Concordo parcialmente,4,Discordo parcialmente,2,Muito boa a iniciativa ,18,12,75,iniciativa,Very good initiative
1465,Sim,Concordo parcialmente,4,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,"Parabéns pela criação do simulador de aposentadoria do servidor público! Essa ferramenta é uma grande contribuição para ajudar os profissionais a planejarem melhor seu futuro, trazendo mais clareza e segurança nas decisões. Excelente trabalho!",19,20,"97,5",parabens criacao publico ferramenta contribuicao ajudar profissional planejar futuro clareza seguranca decisao excelente trabalho,"Congratulations on creating the public servant retirement simulator! This tool is a great contribution to helping professionals better plan their future, bringing more clarity and security to decisions. excellent work!"
1466,Sim,Concordo parcialmente,4,Discordo totalmente,1,Concordo totalmente,5,Concordo parcialmente,4,Concordo totalmente,5,Discordo totalmente,1,Concordo parcialmente,4,Discordo totalmente,1,Concordo totalmente,5,Concordo parcialmente,4,Aproveito a ocasião para elogiá-los. O Simulador de Aposentadoria é muito fácil de ser usado e muito efetivo. Nos traz informações preciosas com muita confiabilidade.,18,14,80,aproveitar ocasiao elogia los facil efetivo informacao precioso confiabilidade,I take this opportunity to praise them. The retirement simulator is very easy to use and very effective. brings us precious information with great reliability.
1478,Sim,Discordo totalmente,1,Discordo totalmente,1,Concordo totalmente,5,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,Concordo parcialmente,4,Discordo parcialmente,2,Discordo totalmente,1,"Não concordo, nem discordo",3,O meu tempo de serviço público anterior ao atual não aparece na simulação. ,9,13,55,publico anterior atual aparecer,My time in public service prior to my current one does not appear in the simulation.
1482,Sim,Discordo parcialmente,2,Concordo totalmente,5,Discordo totalmente,1,Discordo parcialmente,2,Discordo parcialmente,2,Discordo parcialmente,2,Concordo parcialmente,4,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Nada a Declarar,5,6,"27,5",declarar,Nothing to declare
1487,Sim,Concordo parcialmente,4,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Discordo totalmente,1,Discordo parcialmente,2,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,"Não consegui usar, a simulação que fiz,, só dava erro, independente da opção que e escolhia. E para minha surpresa, o servidor do meu Rh não soube me instruir, dizendo que não tem conhecimento acerca da ferramenta.
Complicado.",4,4,20,conseguir fiz erro independente opcao escolhio surpresa instruir conhecimento ferramenta complicado,"I couldn't use the simulation I did, it just gave an error, regardless of the option I chose. and to my surprise, my HR employee didn't know how to instruct me, saying he had no knowledge about the tool. Complicated."
1496,Sim,"Não concordo, nem discordo",3,Discordo totalmente,1,Concordo totalmente,5,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,"Não concordo, nem discordo",3,Concordo totalmente,5,"Não concordo, nem discordo",3,Discordo totalmente,1,O simulador não puxa o tempo total averbado não CTC.,10,8,45,puxar total averbado ctc,The simulator does not pull the total time recorded without ctc.
1499,Sim,Concordo totalmente,5,Discordo parcialmente,2,"Não concordo, nem discordo",3,Concordo parcialmente,4,"Não concordo, nem discordo",3,Discordo parcialmente,2,Concordo parcialmente,4,Discordo parcialmente,2,"Não concordo, nem discordo",3,Concordo totalmente,5,A ferramenta não apresentou a data exata e a remuneração prevista com o advento da aposentadoria.,13,10,"57,5",ferramenta data exato remuneracao prever advento,The tool did not present the exact date and expected remuneration upon retirement.
1501,Sim,Concordo parcialmente,4,"Não concordo, nem discordo",3,Discordo parcialmente,2,Concordo totalmente,5,Discordo parcialmente,2,"Não concordo, nem discordo",3,Discordo parcialmente,2,Concordo parcialmente,4,Discordo totalmente,1,"Não concordo, nem discordo",3,Não consegui realizar corretamente minha simulação.,6,7,"32,5",conseguir realizar corretamente,I was unable to perform my simulation correctly.
1507,Sim,Concordo parcialmente,4,Concordo parcialmente,4,Concordo parcialmente,4,Discordo parcialmente,2,Discordo parcialmente,2,"Não concordo, nem discordo",3,Discordo parcialmente,2,Concordo parcialmente,4,Concordo parcialmente,4,Concordo parcialmente,4,Deveria ser melhor explicado.,11,8,"47,5",explicar,It should be better explained.
1512,Sim,Concordo parcialmente,4,Discordo parcialmente,2,Concordo parcialmente,4,Discordo totalmente,1,Concordo parcialmente,4,Concordo parcialmente,4,Concordo parcialmente,4,Discordo totalmente,1,Discordo totalmente,1,Discordo totalmente,1,"Está com erro na soma do tempo, já tentei mandar mensagens várias vezes, mas o e-mail informado anteriormente não é e-mail válido. 

Entrada no serviço público em um único cargo até dias atuais 03/03/1997, aí da que tem só 24 anos até o dia de hoje. ",12,16,70,erro soma mandar mensagem varias mail informar anteriormente mail valido entrada publico unico cargo dia atual ano dia hoje,"There is an error in the sum of time, I have tried sending messages several times, but the email previously entered is not a valid email. entry into public service in a single position until the present day 03/03/1997, from which he is only 24 years old to this day."
1514,Sim,Concordo parcialmente,4,Discordo totalmente,1,Concordo parcialmente,4,Discordo totalmente,1,Concordo parcialmente,4,Discordo totalmente,1,Concordo parcialmente,4,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,"Os botões para saída dos arquivos devem ser mais explicativos, intuitivos ",16,20,90,botao saida arquivo explicativo intuitivo,The buttons for outputting files should be more explanatory and intuitive
1516,Sim,Concordo totalmente,5,Discordo parcialmente,2,Concordo parcialmente,4,Discordo parcialmente,2,Discordo parcialmente,2,Discordo parcialmente,2,"Não concordo, nem discordo",3,Discordo parcialmente,2,Discordo parcialmente,2,Concordo parcialmente,4,"Gostei muito do simulador, porém tive dificuldades no primeiro momento para entender.",11,13,60,gostar dificuldade entender,"I really liked the simulator, but I had difficulty understanding it at first."
1518,Sim,"Não concordo, nem discordo",3,Concordo parcialmente,4,Concordo parcialmente,4,Discordo totalmente,1,"Não concordo, nem discordo",3,Discordo parcialmente,2,Concordo parcialmente,4,Discordo totalmente,1,"Não concordo, nem discordo",3,Discordo totalmente,1,"No meu caso o tempo de contribuição está errado. Apesar de constar  a data de admissão ser correta 23/02/95, o tempo que consta é 25 anos e 1mes, sendo q hoje tenho  29 a 7m. 
Então o simulador está no meu caso  fazendo o cálculo errado.
",12,16,70,contribuicao errado apesar constar data admissao corretar constar ano hoje calculo errar,"In my case, the contribution time is wrong. although the date of admission is correct as 02/23/95, the time stated is 25 years and 1 month, and today I am 29 to 7 months old. so the simulator is in my case doing the wrong calculation."
1521,Sim,Concordo parcialmente,4,Discordo totalmente,1,Discordo parcialmente,2,Discordo parcialmente,2,Discordo parcialmente,2,Discordo parcialmente,2,Discordo totalmente,1,Discordo parcialmente,2,Discordo totalmente,1,Discordo parcialmente,2,Achei interessante. A tendência é melhorar. ,5,16,"52,5",interessante tendencia melhorar,I found it interesting. the tendency is to improve.
1522,Sim,Concordo parcialmente,4,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,Discordo totalmente,1,Discordo parcialmente,2,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,Discordo totalmente,1,Discordo totalmente,1,"O Simulador de aposentadoria não é claro quanto ao valor final que o Servidor irá receber. Além disso, desconsidera no cálculo a possibilidade de um servidor que ingressou no serviço público como deficiente veja sua real situação, haja vista que desconsidera a legislação relativa ao assunto que diminuiu o tempo de contribuição e idade para aposentadoria.",8,14,55,claro receber desconsiderar calculo possibilidade ingressar publico deficiente real situacao desconsiderar legislacao relativo assunto diminuir contribuicao idade,"The retirement simulator is not clear about the final amount that the server will receive. Furthermore, it disregards in the calculation the possibility that a civil servant who entered the public service as a disabled person sees their real situation, given that it disregards the legislation relating to the matter which reduced the contribution time and retirement age."
1523,Sim,Concordo totalmente,5,Discordo parcialmente,2,Concordo parcialmente,4,Discordo parcialmente,2,Concordo totalmente,5,"Não concordo, nem discordo",3,Concordo parcialmente,4,Discordo parcialmente,2,Concordo parcialmente,4,Discordo parcialmente,2,Seria interessante e necessário vir o resumo de vínculos fora do tempo de serviço público que estão sendo considerados,17,14,"77,5",interessante necessario vir resumo vinculo publico considerar,It would be interesting and necessary to provide a summary of contracts outside of public service time that are being considered
1524,Sim,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Perfeito ,20,20,100,perfeito,Perfect
1526,Sim,Concordo parcialmente,4,Concordo parcialmente,4,Concordo totalmente,5,Concordo parcialmente,4,Concordo parcialmente,4,Concordo parcialmente,4,Concordo parcialmente,4,Concordo parcialmente,4,Concordo parcialmente,4,Concordo parcialmente,4,Nada a declarar minhas dúvidas foram tiradas com exitos,16,5,"52,5",declarar duvida tirar exito,"Nothing to declare, my doubts were successfully resolved"
1532,Sim,"Não concordo, nem discordo",3,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo parcialmente,4,Discordo totalmente,1,"Não concordo, nem discordo",3,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,"Realizei a minha simulação para verificar as condições e solicitei meu pedido, e já estou aposentado desde 07/10/24. ",15,20,"87,5",realizeir verificar condicao solicitei pedido aposentado,"I carried out my simulation to check the conditions and requested my order, and I have been retired since 10/07/24."
1536,Sim,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,"Não sei se é o fato de ser algo novo portanto posso não ter ainda conhecimento pleno do simulador mas gostaria de ver nas simulações a informação sobre as regras de reajuste. Sei, por exemplo, que existem opções em que o reajuste acompanhará o que for definido para o pessoal da ativa de minha carreira ou poderei optar por reajuste anual independente do que for definido para o pessoal da ativa.
",20,20,100,fato conhecimento pleno gostar informacao regra reajuste existir opcao reajuste acompanhar definir pessoal ativa carreira poderei optar reajuste anual independente definir pessoal ativa,"I don't know if it's the fact that it's something new so I may not yet have full knowledge of the simulator but I would like to see information about the readjustment rules in the simulations. I know, for example, that there are options in which the adjustment will follow what is defined for active personnel in my career or I can opt for an annual adjustment regardless of what is defined for active personnel."
1539,Sim,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Discordo parcialmente,2,Discordo parcialmente,2,Discordo parcialmente,2,Discordo totalmente,1,Discordo totalmente,1,Discordo totalmente,1,Inclusão de informações sobre averbações realizadas e que podem compor a aposentadoria.,10,19,"72,5",inclusao informacao averbacao realizar compor,Inclusion of information about endorsements made and which may form part of retirement.
