ID,"1
Acho que gostaria de utilizar o Simulador de Aposentadoria com frequência","2
Eu achei o Simulador de Aposentadoria muito complexo","3
Eu achei o Simulador de Aposentadoria fácil de usar","4
Eu acho que precisaria de ajuda de uma pessoa com conhecimentos específicos para usar o Simulador de Aposentadoria","5
Eu achei que as várias funções do Simulador de Aposentadoria estão muito bem integradas","6
Eu achei que o Simulador de Aposentadoria apresenta muita inconsistência","7
Eu imagino que as pessoas aprenderão como usar o Simulador de Aposentadoria rapidamente","8
Eu achei o Simulador de Aposentadoria difícil de usar","9
Eu me senti confiante usando o Simulador de Aposentadoria","10
Eu precisei aprender várias coisas novas antes de conseguir usar o Simulador de Aposentadoria",comments,X,Y,sus,clean_text
613,5,5,5,1,5,1,5,1,2,2,Excelente trabalho dos servidores ,17,15,80.0,excelente trabalho
617,5,1,5,1,4,2,5,1,5,1,"Podem ser inseridos dois  campos:
1. Com estimativa de valor da aposentadoria;
2. O servidor consiga inserir ou suprimir tempo de contribuição, para ajustar a pesquisa.",19,19,95.0,inserir campo estimativa consiga inserir suprimir contribuicao ajustar pesquisa
618,5,1,5,1,5,1,4,1,5,1,,19,20,97.5,
619,4,2,5,1,3,5,4,2,2,2,"A ideia é boa, mas os dados, pelo menos no meu caso, estão errados. Estou no serviço público desde 2010 e o simulador informa que tenho 4 anos de serviço público. Pelo que entendi, está pegando apenas as informações do último concurso.",13,13,65.0,ideia dado errado publico informar ano publico entender informacao concurso
620,4,1,5,1,4,3,4,1,4,1,"Na minha opinião faltou a opção de permitir que o servidor informe de forma manual os períodos de trabalho. Quando têm vínculos em outros órgãos o aplicativo não busca de forma correta todos os períodos. Portanto,  sem poder informar de forma manual a simulação fica prejucada.",16,18,85.0,opiniao faltar opcao permitir informe manual periodo trabalho vinculo outro orgao aplicativo buscar correta periodo informar manual prejucado
622,5,1,5,1,5,4,5,1,4,1,Excelente ferramenta! ,19,17,90.0,excelente ferramentar
627,5,1,5,1,4,1,4,1,5,1,,18,20,95.0,
628,5,1,5,1,5,4,5,1,5,1,,20,17,92.5,
635,5,1,5,5,5,4,4,1,5,4,,19,10,72.5,
637,3,5,4,1,3,5,3,2,3,1,Não possui a aplicação de aposentadoria especial para PCD. Não ficou claro se essa vinculação se dá no cadastro ou é uma opção simulada!,11,11,55.0,possuir aplicacao especial pcd claro vinculacao cadastro opcao
638,4,1,5,1,5,1,5,5,5,1,Não tenho nada,19,16,87.5,
642,5,1,5,1,5,1,5,1,5,1,"COM TANTAS REGRAS E MUDANÇAS A SEREM CUMPRIDAS PELO SERVIDOR O SIMILADOR FOI UM FACILITADOR E MOSTROU COM TRANSPARÊNCIA AS RESPOSTAS CLARAS AS MINHAS DÚVIDAS. PARABÉNS E QUE AS NOVAS MUDANÇAS SEJAM SEMPRE INTUITIVAS E FÁCEIS DE INTERAGIR ""ESTAMOS ENVELHECENDO E MUITAS FEZES O SIMPLES PARA MUITOS E DIFICIL PARA A MINORIA"", NESSAS MINORIAS É DEVEMOS SEMPRE PENSAR. ",20,20,100.0,regra mudanca cumprir similador facilitador mostrar transparencia resposta claro duvida parabens mudanca intuitivo facil interagir envelhecer simples dificil minoria minoria pensar
644,5,1,5,1,3,3,4,1,5,3,Ferramenta de muita utilidade. ,17,16,82.5,ferramentar utilidade
645,5,1,5,1,5,3,4,1,5,1,"As minhas opiniões podem não refletir as de grande parte dos servidores porque eu já tive contato com o antigo simulador da CGU, com o do INSS, mas mesmo assim achei bem intuitivo esse Simulador do SouGov. ¿¿",19,18,92.5,opiniao refletir contato antigo cgu inss intuitivo sougov
646,1,2,1,1,2,2,1,1,2,1,Falta apenas à valor a receber,2,18,50.0,faltar receber
647,5,3,4,4,4,4,3,3,3,3,"Prezados, deveria ter um campo que incorporasse o tempo de serviço do Regime Geral (INSS), e apresentasse ao servidor qual opção melhor de aposentadoria, isto é, pelo Regime Próprio ou pelo Regime Geral. 
Tivesse um campo para emissão da certidão de solicitação de averbação para os dois Regimes.

Sem mais,
Christiane.",14,8,55.0,prezar campo incorporar regime inss opcao melhor regime regime campo emissao certidao solicitacao averbacao regime christiane
648,5,4,2,4,4,3,2,4,4,3,"O simulador precisa ser mais objetivo. Por exemplo: se o usuário não se enquadra em nenhuma regra transitória, isso deveria estar claro, apresentando para ele apenas a situação real e possível para a aposentadoria.",12,7,47.5,precisar objetivo usuario enquadrr nenhum regra transitorio claro situacao real
649,3,5,5,1,4,1,5,1,5,1,Bom com o resultado apresentado eu pude decidir quando irei solicitar a Aposentadoria Voluntária.,17,16,82.5,resultado pude decidir irar solicitar voluntario
650,4,2,4,2,4,2,4,2,3,1,Seria interessante que o simulador apresentasse valores considerando as contribuições realizadas até o momento.,14,16,75.0,interessante considerar contribuicao realizar
651,5,3,5,3,5,3,5,3,3,3,,18,10,70.0,
655,3,2,4,2,3,2,4,2,4,2,"Acho que sistema deveria indicar a modalidade mais vantajosa para o servidor. Quem tem mais de uma opção fic inseguro de escolher, achando que pode estar perdendo alguma coisa.",13,15,70.0,indicar modalidade vantajoso opcao fic inseguro escolher perder algum
656,4,2,4,2,4,3,5,1,5,1,Parabéns pela iniciativa e desenvolvimento do Simulador! Ótima ferramenta!,17,16,82.5,parabens iniciativa desenvolvimento otima ferramenta
660,5,3,2,1,5,1,4,1,5,2,"Gostei muito, podemos usar o relatório  no pedido de aposentadoria?",16,17,82.5,gostar relatorio pedido
663,5,1,5,1,5,1,5,1,5,1,,20,20,100.0,
664,5,5,5,5,5,5,5,5,5,5,"Ferramenta muito boa. Espero que os pedidos de aposentadoria seja mais rápido, pois, o que está ocorrendo é um desrespeito ao servidor que contribuiu tanto para o Serviço Público.",20,0,50.0,ferramentar esperar pedido rapido ocorrer desrespeito contribuir publico
666,4,1,4,1,5,1,5,1,5,1,Excelente ferramenta para o servidor.,18,20,95.0,excelente ferramentar
667,5,1,5,1,5,1,5,1,5,1,"Gostei do simulador de aposentadoria, seria interessante acrescentar uma aba de pendência de documentos, pois solicitei simular minha aposentadoria pelo SEI, e houve pendência de documentos que estou tentando obter de outros local de trabalho anterior e do INSS (os quais demoram a dar retorno). Solucionar essas pendências com antecedência seria de muita utilidade, para o interessado a se aposentar não ter que fazer isso depois, quebrando a expectativa da aposentadoria. ",20,20,100.0,gostar interessante acrescentar aba pendencia documento solicitar pendencia documento obter outro trabalho anterior inss demor retorno solucionar pendencia antecedencia utilidade interessado quebrar expectativa
668,5,3,4,2,4,1,5,2,5,2,"Muito boa a iniciativa. De uma forma bem objetiva, me apresentou respostas que eu nunca conseguia obter com precisão no órgão em que trabalho. Gostaria de sugerir somente uma breve explicação das leis mencionadas, que por vezes o texto não parece tão claro para o leigo. Adorei o simulador e pretendo utilizá-lo de tempo em tempo. 
Super grato pelo empenho no desenvolvimento.",18,15,82.5,iniciativa objetivo resposta conseguir obter precisao orgao trabalho gostar sugerir explicacao lei mencionar texto parecer claro leigo adorar pretender utilizar super grato empenho desenvolvimento
670,5,1,5,1,5,1,5,1,5,1,,20,20,100.0,
675,5,1,5,1,5,1,5,1,5,1,,20,20,100.0,
676,3,3,2,2,2,1,2,2,2,1,As explicações sobre as opções de aposentadoria poderiam ser mais simples e claras,6,16,55.0,explicacao opcao simples claro
677,4,2,5,4,4,2,5,2,4,2,Deveria haver orientação clara sobre qual é a condição em que o servidor se encaixa para sua expectativa de aposentadoria ,17,13,75.0,orientacao claro condicao encaixar expectativa
683,5,5,5,4,5,4,5,5,2,1,,17,6,57.5,
687,3,2,2,4,2,4,2,4,4,2,"O que faltou na simulação foi a opção de incluir tempo já que a maioria não tem a CTC ainda , mas gostaria de simular com a opção de inclusão para saber se vale a pena ",8,9,42.5,faltar opcao incluir ctc gostar opcao inclusao valer pena
688,4,4,4,1,4,1,4,1,4,1,,15,17,80.0,
689,4,4,4,4,2,2,1,3,2,2,"Não entendi de fato qual o valor que receberei no futuro, qual será o salário de aposentadoria.",8,10,45.0,entendi fato receberar futuro salario
692,5,1,1,1,5,1,5,1,3,1,"No simulador,  deveria importar o tempo do servidor no RGPS e constar a seguinte pergunta: ""Deseja utilizar o tempo no RGPS na simulação? """,14,20,85.0,importar rgp constar seguinte perguntar desejar utilizar rgp
693,5,1,5,1,5,2,5,1,5,1,"O grande problema do simulador, são as atualizações, dependendo dos setor e dos recursos humanos, que são ineficientes.",20,19,97.5,problema atualizacao depender setor recurso humano ineficiente
694,3,1,5,1,1,5,5,1,1,1,"Eu apresentei uma certidão de contagem recíproca que já foi averbada, mas o simulador não a leva em consideração, portanto, é uma falha grotesca",10,16,65.0,apresentei certidao contagem reciprocar averbar levar consideracao falha grotesco
696,5,1,5,4,5,1,5,1,4,2,"Sugiro informarem que é necessário averbar, tbm, as contribuições, qdo for necessário à aposentadoria do servidor. Não existe nenhuma sinalização a respeito e nem o RH do meu órgão soube me orientar. Tive que buscar orientação externa, pois já havia averbado o tempo de contribuição e não entendi o valor de aposentadoria apresentado no simulador, mais alto que minha remuneração atual
Obrigada pela oportunidade!",19,16,87.5,sugiro informar necessario averbar tbm contribuicao qdo necessario existir nenhum sinalizacao respeito orgao orientar buscar orientacao externo averbar contribuicao entendi alto remuneracao atual oportunidade
698,3,1,5,1,4,2,5,1,4,1,,16,19,87.5,
701,5,1,5,1,5,1,5,1,5,1,,20,20,100.0,
704,5,2,5,2,5,2,5,5,5,3,Simulador muito útil.,20,11,77.5,util
705,5,5,5,1,4,1,5,1,4,2,,18,15,82.5,
708,1,2,3,3,2,3,2,3,2,3,,5,11,40.0,
709,1,1,4,3,1,3,3,2,1,3,"O simulador só conta o tempo que falta para as duas opções de tempo de contribuição a partir da data de ingresso no serviço público. Não dirime dúvida alguma, não informa nada novo. Talvez agilize alguma coisa no caso de um servidor que já tenha cumprido os requisitos pra aposentadoria, o que não ¿é o meu caso. Se houver alguma funcionalidade nesse caso, pode ter alguma utilidade, mas aí a pessoa com certeza já terá o apoio do seu setor de gestão de trabalho e não é mais necessário um simulador.",5,13,45.0,contar faltar opcao contribuicao data ingresso publico dirime duvida algum informar agilizar algum cumprir requisito pra algum funcionalidade algum utilidade pessoa setor gestao trabalho necessario
710,5,2,4,1,5,3,5,1,4,4,"Achei fantástico! Desburocratizou e eliminou o tempo de espera do RH analisar e responder. 
Facilitou muitíssimo o planejamento do projeto de aposentadoria. 
Espero que as informações que obtive sejam plenamente confiáveis pois mudou radicalmente meu projeto de Vida!",18,14,80.0,fantastico desburocratizar eliminar espera analisar responder facilitar muitissimo planejamento projeto esperar informacao obtiver plenamente confiavel mudar radicalmente projeto vida
711,5,2,4,2,4,4,4,2,5,2,"Sem sugestões no momento. 
Gostei da ferramenta, é útil e importante para o servidor .",17,13,75.0,sugestao gostar ferramenta util importante
714,3,3,3,2,3,4,3,3,3,1,"Ao utilizar o simulador, a data prevista e os rendimentos previstos apareceram como ""0000"". Seria interessante uma integração com os dados do Meu INSS para buscar contribuições anteriores ao serviço público e poder contabilizar todas as contribuições do servidor.",10,12,55.0,utilizar data prever rendimento prever aparecer interessante integracao dado inss buscar contribuicao anterior publico contabilizar contribuicao
715,4,3,3,2,4,2,4,2,5,5,Eu gostei e foi muito útil  ,15,11,65.0,gostar util
718,5,1,5,1,5,1,4,1,5,2,"Com o simulador de aposentadoria é possível planejar o futuro, sem precisar fazer solicitação a alguém.",19,19,95.0,planejar futuro precisar solicitacao alguem
721,5,1,5,1,4,1,5,1,4,1,"Não entendi porque o simulador não contabilizou a licença premio que não gozei enquanto servidora municipal. 
A contagem das contribuições apresentam 8 meses de diferença do início do meu exercício no serviço público. 
Não observei dados dados sobre a insalubridade  o que fornece  outros calculos tanto para o tempo como para valores.
O servidor podendo ser de esferas variadas poderia ter um demonstrativo para cada, e ao final a unificação. 
Não vi local para envio de dúvidas ( siglas, perfuntas)",18,20,95.0,entendi contabilizar licenca premio gozar servidora municipal contagem contribuicao diferenca exercicio publico observei dado insalubridade fornecer outro calculo esfera variar demonstrativo unificacao envio duvida sigla perfunta
723,4,2,2,2,4,2,2,2,4,2,"O simulador poderia ter um campo em que fosse inserido o tempo de outros órgãos públicos e/ou INSS que ainda não foram averbados. Já que há muitos servidores com tempo anterior ao ingresso no órgão ou Serviço Público e que ainda não averbou. Tal inclusão facilitaria sobremaneira a verificação. Além disso, poderia ter outras opções de aposentadoria como por doença e o cálculo do valor previsto da aposentadoria.",11,15,65.0,campo inserir outro orgao publico inss averbar anterior ingresso orgao publico averbar inclusao facilitariar sobremaneira verificacao outro opcao doenca calculo prever
725,5,1,1,1,4,2,3,1,3,2,,11,18,72.5,
726,2,2,2,2,2,5,2,2,1,2,"Não foi possível consultar o  meu tempo de contribuição até o momento e no meu entendimento seria importante ter essas informações pessoais no sistema, não sendo focado somente a quem está prestes a aposentar-se.
Também não foi possível a verificação da averbação do meu tempo em relação ao INSS no sistema, documento esse o qual já apresentei ao RH há muito tempo.",4,12,40.0,consultar contribuicao entendimento importante informacao pessoal focar prestes verificacao averbacao inss documento apresentei
729,3,2,4,2,3,3,4,4,4,2,,13,12,62.5,
732,2,2,5,3,4,2,4,2,4,2,É uma ferramenta que veio para ajudar a planejar a época da aposentadoria,14,14,70.0,ferramenta vir ajudar planejar epoca
733,4,3,2,3,2,3,3,4,1,4,"O sistema é confuso. Não é possível saber o tipo de aposentadoria em que nos enquadramos.
O sistema também não apresenta informações sobre o ""benefício especial"" para aqueles que fizeram a opção pelo RGPS.
",7,8,37.5,confuso enquadra informacao beneficio especial opcao rgp
737,4,1,5,1,5,1,5,1,5,1,"Ferramenta muito boa, sugiro apresentar em destaque, a melhor opção de aposentadoria dentre as possíveis apresentadas.",19,20,97.5,ferramentar sugiro destaque opcao dentre
739,4,1,5,1,4,4,5,1,4,1,,17,17,85.0,
741,4,2,4,1,4,1,5,1,5,2,,17,18,87.5,
742,4,2,4,2,3,3,3,3,3,2,"1) Falta apresentar a simulação do benefício especial.
2) Poderia apresentar todos os rendimentos (incluindo o beneficio especial) e os descontos para o servidor entender qual seria o valor líquido que receberia na aposentadoria.",12,13,62.5,faltar beneficio especial rendimento incluir beneficio especial desconto entender liquido receber
743,4,2,5,2,4,2,4,2,4,2,,16,15,77.5,
744,5,1,5,2,5,1,5,2,5,5,"Além de fácil, cômodo e resolve nossa dúvidas em dois minutos, esperando q aquela simulação seja verdadeira. ",20,14,85.0,facil comodo resolver duvida minuto esperar verdadeiro
746,4,3,4,2,4,2,4,2,4,2,"As condições para implementação deveriam ser mais claras, com as regras descritas em campo aberto",15,14,72.5,condicao implementacao claro regra descrita campo abrir
748,3,1,5,3,3,1,3,5,4,3,,13,12,62.5,
753,5,2,4,1,4,2,4,3,5,1,Parabéns pela iniciativa do sistema. Gostaria que avaliassem a possibilidade de inclusão de uma simulação com a averbação do tempo de contribuição na iniciativa privada.,17,16,82.5,parabens iniciativa gostar avaliar possibilidade inclusao averbacao contribuicao iniciativa privado
754,5,1,5,4,5,1,4,2,5,4,"É de grande ajuda o simulador, sempre estava a procura de ajuda sobre a aposentadoria. Com vários requisitos atualmente, ficava difícil ver em qual situação me enquadraria.",19,13,80.0,ajudar procura ajuda requisito atualmente dificil situacao enquadrario
755,5,1,5,2,5,1,5,1,5,2,,20,18,95.0,
756,4,1,5,1,3,3,3,1,5,1,,15,18,82.5,
759,5,2,5,2,2,2,1,1,2,2,"Simulador com cálculo diferente do apresentado no processo informado pelo SEI.

",10,16,65.0,calculo diferente apresentado processo informar
760,5,5,5,1,4,1,5,1,5,1,,19,16,87.5,
761,2,2,3,2,4,2,4,2,3,2,,11,15,65.0,
762,5,4,2,4,2,2,3,4,2,2,O simulador não resgata tempos de contribuição fora do serviço publico e como isso impactaria o tempo.,9,9,45.0,resgatar contribuicao publico impactar
768,2,4,4,3,2,4,2,3,1,3,"Achei muito ruim, inconsistente, ambíguo, como está não vai ajudar ninguém ",6,8,35.0,ruim inconsistente ambiguo ajudar ninguem
769,5,1,5,5,4,1,5,1,5,1,"Deveria ter algo mais simples ao publico: Coisa do tipo: Você precisa ""trabalhar"" mais tantos anos para se aposentar ou esperar completar tantos anos.",19,16,87.5,simples publico precisar trabalhar ano esperar completar ano
773,4,2,4,2,4,3,4,3,3,2,,14,13,67.5,
774,5,3,3,4,4,3,4,3,5,3,PODERIA SER UM POUCO MAIS FÁCIL,16,9,62.5,facil
776,5,1,5,1,5,1,5,1,5,1,,20,20,100.0,
777,5,3,4,2,3,3,4,2,2,3,"Dúvidas: Fiquei preocupada em estar usando o aplicativo, com as diversas formas, e no momento da minha aposentadoria, o sistema utilizar as minhas escolhas sem ao menos eu repensar na época.",13,12,62.5,duvida fiquei preocupar aplicativo diverso utilizar escolha repensar epoca
779,4,2,4,2,4,3,4,2,4,2,,15,14,72.5,
780,3,1,5,1,4,2,5,1,3,1,"Simples, Fácil e Rápido. 
Parabéns. ",15,19,85.0,simples facil rapido parabens
782,5,1,5,1,5,1,5,1,5,1,,20,20,100.0,
785,4,3,1,5,1,3,2,2,2,5,Deveria haver explicação dos fundamentos legais para os requisitos que eu devo preencher. Não tenho ideia do qual me encaixo.,5,7,30.0,explicacao fundamento legal requisito devar preencher ideia encaixo
790,5,2,5,1,4,1,5,1,5,1,"Achei ótimo, facilitou muito o acesso a esse tipo de informação liberando o pessoal do Rh desse tipo de demanda. Parabéns!",19,19,95.0,facilitar acesso informacao liberar pessoal demanda parabens
793,3,3,3,1,2,3,3,3,3,3,"Tentei simular a Aposentadoria da LC 142,  mas não encontrei a opção. ",9,12,52.5,encontrar opcao
794,3,2,4,3,3,3,4,3,3,3,,12,11,57.5,
795,4,1,5,1,2,1,5,1,5,1,Gostei só falta eu ter tempo para simular valores,16,20,90.0,gostar faltar
797,4,2,4,2,3,1,4,2,3,3,,13,15,70.0,
800,5,1,5,1,5,1,5,1,5,1,,20,20,100.0,
801,4,2,4,2,3,4,3,2,3,2,,12,13,62.5,
802,2,2,2,2,3,1,3,1,2,2,,7,17,60.0,
803,5,2,5,1,5,1,4,1,5,1,,19,19,95.0,
805,4,2,4,2,4,4,4,2,1,2,INCONSISTÊNCIA: Fiz a migração de regime previdenciário e adesão à FUNPRESP em novembro de 2022. Não aparece a situação de cálculo com base nos 80% das maiores remunerações (Lei 14.463/2022). Também gostaria de ter acesso ao valor do BENEFÍCIO ESPECIAL que seria concedido com a aposentadoria. ,12,13,62.5,inconsistencia fiz migracao regime previdenciario adesao funpresp novembro aparecer situacao calculo base remuneracao lei gostar acesso beneficio especial concedir
807,4,2,4,2,4,4,4,2,2,2,Não encontrei onde colocar meu tempo de serviço em outra instituição.,13,13,65.0,encontrar colocar outro instituicao
808,4,2,4,1,4,1,4,1,4,1,"O simulador de aposentadoria só mostra o periodo de trabalho  na iniciativa privada, quando descontada INSS.
O periodo de trabalho na CNEN não consta.",15,19,85.0,mostrar periodo trabalho iniciativa privado descontar inss periodo trabalho cnen constar
809,3,1,5,2,1,5,4,1,1,1,"Achei que o simulador está com falha. No meu caso tenho 64 anos de idade, e (pelo simulador) 13 anos e 3 meses de serviço público (creio que devido a uma licença não remunerada que tirei). Porém pelo simulador minha aposentadoria só seria possível em 2063!!! Ou seja, eu teria 103 anos de idade!!!
Creio que devido a idade que entrei no serviço público eu realmente nunca terei direito à aposentadoria, pois só seria após os 75 anos de idade, porém achei muito discrepante a informação que recebi. 
",9,15,60.0,falha ano idade ano publico crer devido licenca remunerar tir ano idade crer devido idade entrar publico realmente direito ano idade discrepante informacao recebir
810,4,1,5,1,5,1,5,1,5,1,"Sugestões:
1. Para as simulações futuras gerar um relatório que logo no início, como nos demais, já vem o valor estimado de aposentadoria.
2. Se há um método que permite aposentar com valor superior explicar a razão;
3. Inserir explicação se a pessoa tem direito à aposentadoria pelo setor público e requisitar a aposentadoria tb pelo INSS, tendo em vista as contribuições.
4. Usar ou não ""contribuições"". O botão deve ou não ser aplicado.",19,20,97.5,sugestao futuro gerar relatorio vir estimar metodo permitir superior explicar razao inserir explicacao pessoa direito setor publico requisitar inss vista contribuicao contribuicao botao aplicar
814,5,1,3,1,1,5,3,1,1,3,"O simulador apresenta várias inconsistências. Eu tenho 9 anos e 4 meses de tenho privado e 21 anos e 6 meses de tempo no serviço público federal, o que daria 30 anos e 10 meses de tempo total, mas o simulador só reconhece 26 anos e 6 meses de tempo total. A minha data de ingresso no serviço público foi em 22/04/2003, mas o sistema apresenta a data de 12/11/2007, erroneamente, pois essa última data é a do cargo atual (3º cargo público. pois os outros dois deixei vagos).",8,14,55.0,varias inconsistencia ano privado ano publico federal ano total reconhecer ano total data ingresso publico data erroneamente data cargo atual cargo publico outro deixei vago
817,3,1,4,2,3,1,3,1,2,1,"Ainda fiquei com dúvida, como o que seriam os requisitos preenchidos e como fazer para preencher los. 
Não entendi quanto poderei ganhar após a aposentadoria.",10,19,72.5,fiquei duvida requisito preencher preencher los entendi ganhar
819,4,2,4,2,4,2,4,1,5,2,"Como ainda não cumpri com os pré-requisitos legais para me aposentar, não tenho muitas informações a receber, mas acredito que ele seja muito útil. Em breve, pretendo voltar a usá-lo já com os requisitos atendidos e aí sim poderei verificar melhor esta ferramenta.",16,16,80.0,cumpri pre requisito legal informacao receber acreditar util preter voltar requisito atender verificar melhor ferramenta
820,4,2,2,4,4,2,4,2,4,4,,13,11,60.0,
823,3,1,5,1,4,4,3,1,4,1,"No meu caso não aceitou meu tempo homologado pelo INSS, acho q deveria está integrado ao MEU INSS, na opção do tempo  q tenha trabalhado pelo regime da CLT",14,17,77.5,aceitar homologar inss integrado inss opcao trabalhar regime clt
824,5,1,4,3,2,3,4,1,4,1,"Eu acho que as explicações das emendas constitucionais são difíceis de entender. No meu caso, por exemplo, existem quatro possibilidades. Embora em todas, eu tenho o mesmo resultado, eu não sei em qual delas, pelas explicações, são as mais vantajosas e que garantam os meus maiores diretos a paridade e integralidade. Outra coisa que o simulador não apresenta é a situação da pensionista, em caso de morte do beneficiário após a aposentadoria.",14,16,75.0,explicacao emenda constitucional dificil entender existir possibilidade resultado explicacao vantajoso garantir direto paridade integralidade outro situacao pensionista morte beneficiario
827,4,2,4,2,3,5,3,2,3,3,"O simulador não apresenta opções de aposentadoria do servidor com deficiência, previsto na Reforma da Previdência. Importante colocar esta opção para os servidores que se encaixam nesta opção.",12,11,57.5,opcao deficiencia prever reforma previdencia importante colocar opcao encaixam opcao
829,5,2,4,4,5,1,4,2,5,3,,18,13,77.5,
830,5,1,1,1,4,1,5,1,5,1,Acho muito importante esta ferramenta. Podendo desta forma dar uma orientação a tomada de decisão do servidor. Somente acho que poderiam nos ajudar a decidir a mais favorável na hora de decidir  o tipo de aposentadoria que deveríamos optar. fazendo um comparativo entre as opções.,15,20,87.5,importante ferramenta orientacao tomada decisao ajudar decidir favoravel hora decidir deveriar optar comparativo opcao
833,3,2,4,3,2,3,4,2,3,4,"A iniciativa é boa, parabéns. Penso que ela pode evoluir muito mais, servindo inclusive como uma ferramenta de educação financeira. Minha sugestão é incluir o cálculo do Benefício Especial para aqueles servidores que ingressaram antes de 2013 e aderiram à Funpresp. No simulador isso não fica claro. Outra alternativa é possibilitar que o servidor que ainda tem pouco tempo de contribuição consiga ter uma estimativa de quanto será a aposentadoria.",11,11,55.0,iniciativa parabens pensar evoluir servir ferramenta educacao financeiro sugestao incluir calculo beneficio especial ingressar aderir funpresp claro outro alternativa possibilitar contribuicao consiga estimativa
834,5,2,4,3,4,3,4,2,4,3,"No meu caso o Simulador apresentou problemas por não integrar os diferentes cargos que tive e, portanto, não trouxe um resultado conclusivo.",16,12,70.0,problema integrar diferente cargo resultado conclusivo
835,5,2,5,2,3,3,4,2,5,2,Gostaria de sugerir que houvesse dentro do simulador um local para enviar mensagem para tirar dúvida ou um e-mail que pudesse tirar dúvidas ou pedir acertos sobre as informações condidas no simulador.,17,14,77.5,gostar sugerir enviar mensagem tirar duvida mail tirar duvida pedir acerto informacao condir
837,5,1,5,1,5,1,5,1,5,1,,20,20,100.0,
838,5,1,5,1,5,1,5,1,3,1,Gostaria que fosse incluída a simulação com pessoas em situação de deficiência.,18,20,95.0,gostar incluir pessoa situacao deficiencia
839,4,1,5,1,2,2,4,1,3,1,,13,19,80.0,
841,3,2,4,3,3,3,4,4,2,4,"Nos vários requisitos a preencher que aparecem, vale o ano vigente da simulação, ou a norma vigente já considera o ano de aposentadoria para a idade mínima, soma da idade + tempo de serviço, etc? Grato,",11,9,50.0,requisito preencher aparecer valer ano vigente norma vigente considerar ano idade pequeno somar idade etc grato
843,5,2,3,1,2,2,4,2,3,2,,12,16,70.0,
845,5,1,5,1,5,1,5,1,4,1,Gostei de usar o simulador de aposentadoria. Me foi muito útil .,19,20,97.5,gostar util
846,4,4,2,5,3,4,2,4,1,3,"Bom dia. É necessário, em minha opinião, a clara indicação do porquê há várias opções/períodos apresentados para eventual ano de aposentadoria. Em que pese estar citado dispositivos legais, seria preciso esclarecimentos adicionais sobre cada opção apresentada, e se há perda no valor a receber de acordo com a opção.",7,5,30.0,dia necessario opiniao claro indicacao opcao periodo ano pesar citar dispositivo legal preciso esclarecimento adicional opcao perda receber acordo opcao
848,4,1,5,1,3,1,5,1,5,1,Foi muito boa esta implementação. Agora saber tempo de aposentadoria e outros dados está na mão. Obrigada a todos que participaram deste feito!!!!!,17,20,92.5,implementacao outro dado mao obrigar participar
854,4,4,4,2,2,4,4,2,2,5,O simulador poderia carregar as contribuições anteriores e já efetuar os cálculos das projeções.,11,8,47.5,carregar contribuicao anterior efetuar calculo projecao
855,2,2,3,2,1,3,2,2,1,2,"No Simulador, não há continuidade do cálculo do valor da aposentadoria quando feita a Exclusão da Média, disposta no Art. 26 § 6º da EC 103/2019, após o Servidor informar as contribuições para exclusão; assim, não há como saber se é melhor,  ou não, a aposentadoria com a exclusão estipulada na norma constitucional . Sugiro que o Simulador SouGov use como modelo o Histórico de Cálculo-Hiscal do Sistema Prisma da Dataprev, no qual a aposentadoria é calculada automaticamente com a exclusão da média",4,14,45.0,continuidade calculo exclusao media disposto art informar contribuicao exclusao exclusao estipular norma constitucional sugiro sougov use modelo historico calculo hiscal prisma dataprev calcular automaticamente exclusao media
858,5,5,1,5,3,3,1,5,1,5,,6,2,20.0,
859,4,4,4,4,4,4,4,4,4,2,"SÓ NÃO SEI SE O VALOR APRESENTADO SERIA SEM OS DESCONTOS DO PREVIDENCIÁRIO, MAS ACHEI BOM",15,7,55.0,desconto previdenciario
860,4,2,4,2,5,1,4,1,5,1,"Primeiramente, gostaria de parabenizá-los pela nova ferramenta que, com certeza, será muito útil para nós servidores.

Aproveito a oportunidade para sugerir que também fossem disponibilizadas dicas sobre o que os servidores poderiam fazer após a aposentadoria. Por exemplo, fazer trabalhos voluntários, conhecer novos lugares e pessoas, aprender uma nova língua ou instrumento musical, descobrir um nove hobby, artesanato, jardinagem, aprender uma nova profissão, curtir mais a família etc.",17,18,87.5,primeiramente gostar parabeniza los ferramenta util aproveitar oportunidade sugerir disponibilizar dica trabalho voluntario conhecer pessoa aprender lingua instrumento musical descobrir hobby artesanato jardinagem aprender profissao curtir familia etc
863,4,3,4,3,3,3,3,3,3,3,Mais divulgação no e-mail do servidor,12,10,55.0,divulgacao mail
864,4,4,4,2,3,3,4,2,3,2,"É bem fácil utilizar o simulador, mas a legislação é bem confusa. No meu caso apresentou três opções. Acho que deveria ser apenas uma.

",13,12,62.5,facil utilizar legislacao confusa opcao
866,5,1,5,1,5,2,5,1,5,1,,20,19,97.5,
868,4,2,5,3,4,1,5,1,5,2,Ferramenta muito boa e funcional,18,16,85.0,ferramentar funcional
872,4,1,5,2,3,1,5,1,4,1,,16,19,87.5,
873,5,1,5,2,5,1,4,1,4,2,,18,18,90.0,
