ID,"1
Acho que gostaria de utilizar o Simulador de Aposentadoria com frequência","2
Eu achei o Simulador de Aposentadoria muito complexo","3
Eu achei o Simulador de Aposentadoria fácil de usar","4
Eu acho que precisaria de ajuda de uma pessoa com conhecimentos específicos para usar o Simulador de Aposentadoria","5
Eu achei que as várias funções do Simulador de Aposentadoria estão muito bem integradas","6
Eu achei que o Simulador de Aposentadoria apresenta muita inconsistência","7
Eu imagino que as pessoas aprenderão como usar o Simulador de Aposentadoria rapidamente","8
Eu achei o Simulador de Aposentadoria difícil de usar","9
Eu me senti confiante usando o Simulador de Aposentadoria","10
Eu precisei aprender várias coisas novas antes de conseguir usar o Simulador de Aposentadoria","Agradeço a sua participação e abro o espaço para que você possa contribuir com alguma crítica, sugestão ou elogio sobre o Simulador de Aposentadoria."
901,5,3,5,3,1,4,5,1,5,5,"Faltou incluir os vinculos do cnis neles, vínculos privados ou de recolhimento."
902,4,2,2,1,2,2,4,1,2,2,O Simulador precisa melhorar a exemplo da primeira opção de aposentadoria que não aparece o valor da aposentadoria....
906,5,1,5,1,5,1,5,1,5,1,
907,1,2,5,4,2,2,5,3,1,3,"Sugestão: calcular o tempo que falta para aposentadoria, pois o sistema mostra datas e não tempo. "
908,3,1,5,1,5,1,5,1,5,1,
913,4,2,4,1,2,3,4,1,4,1,
914,3,2,3,5,1,5,3,2,1,2,"Precisa ser melhorado e integrado com outras plataformas, como a do inss uma vez que tenho tempo de contribuição pelo inss e não consta nesse cadastro/simulador."
915,3,3,4,3,3,4,4,4,4,2,"Algumas pessoas não vão conseguir entender os Art. aplicados ao Simulador, tenho certeza que muitos não sabem os significado e conteúdo dos arts, seria mais viavel a exploração desses itens ..."
918,5,1,5,1,5,2,5,1,5,1,Simulador bastante oportuno para que o servidor possa ter uma visão do futuro. 
919,5,1,5,1,5,1,5,1,5,1,"Eu gostaria de incluir o meu tempo de contribuição para o INSS no simulador de aposentadoria, para ter o prazo e o valor reais da minha aposentadoria."
923,3,1,5,1,3,2,1,1,4,1,muito bom
927,1,1,5,1,2,2,5,1,1,1,"TENHO PERÍODOS TRABALHADO NO RGPS, NO CASO DA SIMULAÇÃO NÃO HÁ CAMPO PARA INFORMAR OS PERÍODOS.
SOU PESSOA COM DEFICIÊNCIA, PRETENDO SOLICITAR APOSENTADORIA POR TEMPO DE CONTRIBUIÇÃO PARA PESSOA COM DEFICIÊNCIA, ENTENDO QUE NÃO HÁ COMO SIMULAR SEM O ENQUADRAMENTO DA PERÍCIA (LEVE, MODERADA OU GRAVE), MAS, PODERIA TER UMA ABA ONDE PUDESSE SER INFORMAR A ESPÉCIA DE APOSENTADORIA E HAVER ORIENTAÇÕES SOBRE."
929,5,1,5,1,5,1,5,1,5,1,
932,2,4,2,4,2,3,3,3,3,3,Bom dia! Para mim não acrescentou
933,5,1,5,1,5,3,5,1,5,3,É interessante que conste nas simulações como ocorrerão os reajustes de salário posteriormente.
934,4,2,4,2,4,2,4,4,4,2,
935,5,1,5,1,5,1,5,1,5,1,"Gostei muito do Simulador.
Como sugestão eu acho que deveria ter um valor do benefício da aposentadoria simulado para o dia da simulação. "
937,1,1,5,1,1,5,5,1,5,1,"Está uma porcaria, deveria colocar o cálculo correto, visto que coloca apenas informações vagas."
940,1,1,1,1,1,1,2,2,1,1,Não encontrei opção para incluir períodos de contribuição para o RGPS que ainda não foram averbados.
941,4,2,4,4,1,2,2,2,4,2,"Como o governo federal detém todos os dados cadastrais de quem trabalhou na iniciativa privada e pública federal, o Simulador já deveria conter todas estas informações, ou seja, a base de dados deve ser única juntando as contribuições da parte privada (INSS) com as contribuições do regime especial do governo federal.
Assim, o Simulador ficaria completo e o servidor não teria que solicitar ao órgão público que é lotada a averbação do tempo de serviço realizado na iniciativa privada."
942,5,2,3,2,4,2,5,1,5,2,"Eu não consegui simular com meu tempo trazido de CLT, por isso não consigo saber exatamente o tempo que tenho. "
943,5,1,4,4,2,5,4,1,2,1,"Acredito que no futuro essa ferramenta será muito útil, isso quando todos os casos pontuais e específicos como regras de transição e e aposentadorias especiais. "
945,4,2,4,2,3,4,3,2,4,2,"Bom dia! No meu caso, em especial, havia uma inconsistência no meu tempo de serviço (diferença de 4 anos a menos no serviço público), mas já solicitei a correção junto ao Setor de Pessoal da minha unidade."
948,1,1,4,2,2,3,2,2,2,1,"O simulador de aposentadoria apenas simula a idade? Ou para quem tem o tempo de contribuição já simula o valor? Pois do jeito que está eu só consegui ver as opções de quando eu iria aposentar, poderia deixar alguma explicação sobre os valores, pois é uma das dúvidas da aposentadoria."
953,2,2,1,1,2,1,2,1,2,1,Seria interessante se houvesse a possibilidade de utilização de outros tempos de serviço.  Averbação de tempo. 
955,5,5,5,4,5,4,5,4,4,4,"meu nome Silvio Romero de souza silva matricula siape 0251978 inscrito no CPF de nº 340.945.984-72 ,solicitei aposentadoria, a 02 anos , estou de abono de permanência a 04 anos, até o prezado momento não saiu meu afastamento, digo aposentadoria. sou do Mtb agência do trabalho na cidade de  Araripina-PE  meu Email silvio.s.silva@trabalho.gov.br  , tenho 45 anos de previdencia averbado no INSS e 61 anos de idade, gostaria de saber o que nos impede de aposentar."
958,4,3,4,2,3,3,4,1,4,1,
961,1,2,5,4,5,1,5,1,5,2,"Muito bem elaborado, parabéns!"
962,3,1,5,1,4,4,5,1,3,1,Acredito que para professor EBTT o simulador está com falhas.
964,5,2,5,1,5,1,5,1,1,1,
965,3,3,3,3,3,3,3,3,3,3,Não serviu para a minha situação funcional.
968,3,2,4,1,1,5,4,2,1,1,"Eu sou servidor ingresso em 1989 como celetista, incorporado em 1992 no RJU (data do minha matrícula SIAPE) e fiz novo concurso em 2002.

O simulador só captura o período de um ano anterior ao meu concurso de 2002, não tendo opção de me permitir colocar o ingresso manualmente, mesmo os meus dados e minha ficha funcional anterior ao meu cargo atual estando na plataforma SOUGOV.

Assim, o resultado da simulação que eu faço é errada pois não considera os meus 11 anos de serviço anteriores."
972,4,1,5,1,3,1,4,1,4,1,Não apresenta opção para quem é PCD ou em caso de pensão 
973,4,4,2,4,3,4,4,4,4,4,
975,4,2,4,4,5,1,2,4,2,1,"Acho que falta uma explicação mais detalhada sobre as 3 datas específicas de aposentadoria. De resto, muito bom"
977,4,2,4,2,3,3,4,2,4,2,"Tenho cerca de 20 de contribuição pela CLT. Gostaria de cadastrar esses períodos para que a simulação fosse mais acertiva. 
O simulador está ótimo em usabilidade, mas sem os dados de contribuições anteriores, seus cálculos ficam fora da realidade.
Ainda assim, parabéns a toda a equipe."
978,5,1,5,1,5,1,5,1,5,1,"Aplicativo muito útil e facilita a vida da gente, principalmente os que têm dúvidas sobre como fazer o pedido."
980,4,3,3,2,3,2,4,3,3,4,Incluir um instrutivo simples no início do simulador.
984,2,3,3,3,3,2,3,2,4,3,muito bom.
987,1,1,5,1,5,1,5,1,1,1,"Trabalhei CLT e não tem a opção de incluir esse tempo na simulação, portanto esse simulador só funciona pra quem trabalhou somente como servidor público. "
988,5,1,5,1,4,5,4,1,3,1,"O simulador de aposentadoria coloca a data de ingresso no serviço público mas somente considera para o cálculo a data de ingresso no cargo atual. Sendo assim, não está simulando corretamente."
989,5,1,5,1,5,1,5,1,5,1,"Acho que deveria apresentar simulação, mesmo em situações que ainda não foram atingidas pelo servidor, para que soubesse se vale a pena aguardar atingir tal situação "
992,5,5,5,5,5,5,1,4,4,5,"Simulador é um pouco difícil não no sentido de acessibilidade e manuseio, mas esta precisando de um profissional na área que possa dar explicações, tirar duvidas e esclarecimentos sobre os diversos tipos de aposentadoria e a que tipo o servidor se enquadra pertinente ao contexto que esta no sistema."
997,4,4,2,4,2,4,3,3,2,2,Não encontrei a funcionalidade de aposentadoria para pessoas com deficiência PCD e temos funcionários ingressados no quadro com essa condições.
1000,4,4,4,3,2,3,4,2,2,3,Poderia haver uma forma de incluir períodos trabalhados em CLT para incorporar a real simulação do direito.
1001,5,2,4,1,4,1,4,2,5,4,"Simulador bom, muito importante para o servidor e fácil de manusear."
1003,4,3,4,1,4,1,4,1,4,1,Espero que o simulador permaneça no sougov e que tenha sempre melhorias e opções de simulação em relação às mudanças na carreira
1004,5,3,3,3,3,4,3,3,2,3,"Considerar outros formatos de introdução de dados como por exemplo, telefones com prefixos de outros países, também a informação de contribuição em outros sistemas."
1005,5,1,5,1,1,1,5,1,5,4,"Parabéns! Desejo que em breve a aposentar especial por deficiência ou atividades específicas também possa estar disponível, facilitando o acesso a informação e diminuindo a demanda de consultas aos setores de aposentadoria das instituições."
1010,3,1,4,1,2,4,4,1,4,1,Achei o simular fácil de usar.
1012,3,1,5,1,4,3,4,1,3,1,.....
1013,5,1,5,5,5,1,5,1,5,1,Não
1022,3,1,5,1,3,3,5,1,5,1,
1024,3,1,4,2,5,5,5,1,4,1,"Deveria haver uma maior integração entre os dados advindos de outros regimes próprios de previdência e regime geral pois, no meu caso que trabalhei como autônomo e como servidor municipal, num total de 11 anos aprox., estas informações foram completamente ignoradas pelo simulador. Assim, a ferramenta é útil apenas para quem teve uma vida laboral apenas como servidor federal, deixando de contemplar uma enorme fatia de pessoas que normalmente têm uma vida pregressa laboral."
1026,1,1,4,1,1,3,3,3,1,1,"Acessei o simulador, porem não havia base de dados no meu caso especifico para realizar a simulação e fui aconselhado a buscar, a unidade pagadora do meu orgão, ou seja para mim o simulador é ineficaz"
1031,5,1,5,1,5,1,5,1,5,1,Muito fácil de usar.  Que o mesmo seja mantido assim rápido e eficaz. 
1033,4,3,4,5,3,2,2,2,4,3,No momento da análise não fica muito claro quanto ao melhor valor em conformidade com a paridade
1036,1,2,1,1,2,2,2,2,1,2,"Muito boa função. Fácil e eficaz, porém , senti falta do enquadro com a EC 41. E o valor final da aposentadoria deveria ficar mais explícito."
1037,4,4,3,2,3,4,3,2,3,2,
1038,3,1,5,1,5,1,5,1,5,1,
1041,3,1,5,3,3,3,5,1,5,1,O Simulador ficou muito bom.
1044,5,5,5,1,5,1,5,1,5,1,
1048,2,3,3,5,2,4,2,5,1,1,"Não consigo fazer a média dos meus salários para entender qual seria o salário de aposentadoria nos diversos casos .
Não consigo simular averbação de tempo de serviço, assim, não consigo concluir praticamente nada c o sistema."
1050,4,5,1,5,1,5,1,5,1,5,Não aparece o tempo da Certificação Averbada
1051,5,3,3,4,3,3,3,3,3,3,"O simulador de aposentadoria deveria apresentar a simulação para quem migrou para o regime de previdência complementar (RPC) e para que não migrou. O objetivo dessa simulação é verificar o valor do salário na aposentadoria em cada uma dessas situações e verificar quando é vantajoso migrar para o RPC e quando não é. Como houve mais de uma janela de migração para o RPC, a simulação deve apresentar o cálculo para cada uma dessas janelas."
1052,5,1,5,1,5,1,4,2,4,2,"Boa ferramenta para saber o valor da aposentadoria,"
1055,4,4,3,4,2,4,3,4,3,4,É uma excelente ferramenta e ajuda muito. Mas ainda é necessário uma pessoa que conheça bem o processo para orientar como utilizar e saber entender
1056,5,1,5,1,5,1,5,1,5,1,
1060,1,2,4,1,2,4,5,2,4,1,Não vi opção de incluir os vínculos anteriores ao ingresso no serviço público para contagem do tempo
1061,4,3,3,4,3,4,3,4,3,4,
1063,5,1,5,1,5,1,5,1,5,1,"Excelente ferramenta de simulação da aposentadoria. Contudo, a lista de contribuições a serem desconsideradas na etapa 3 não batem com as contribuições apresentadas na simulação realizada no Sigepe. "
1065,5,1,5,1,5,1,5,1,5,1,
1069,5,5,5,1,5,1,5,1,5,1,
1076,3,1,5,1,2,2,2,1,3,1,Acho que mesmo não tendo o tempo para calcular o aplicativo deveria apresentar a simulação de valores com base nos valores recebidos  atualmente 
1078,5,1,5,1,5,1,5,5,5,1,
1081,4,1,3,1,4,4,3,1,5,3,"O simulador não contempla os servidores com deficiência que tem uma aposentadoria diferenciada, sou servidora com deficiência, já recebo abono de permanência (que também foi difícil conseguir, pois os servidores não estão preparados ou não entendem a legislação), e não consegui fazer a simulação, diz que não tenho tempo para aposentadoria. Nem servidores, nem sistemas estão adequados/preparados para atender os servidores com deficiência. Muito triste essa exclusão."
1082,4,4,4,4,4,2,1,1,4,2,Poderia deixar incluir manualmente períodos de RGPS na simulação para quem ainda não os averbou 
1083,5,3,4,4,1,5,3,2,1,3,"Os valores informados estão totalmente fora do que a realidade.  Não simula o valor real.  Irá confundir uma pessoa mau instruida e irá pensar que o valor informado lá é real;

Vai dar muita confusão. è melhor rever isso.  Vai prejudicar muitas pessoas"
1084,3,2,2,3,1,3,1,5,1,2,"Não é amigável. E ao final não apresenta uma previsão atualizada de valores da aposentadoria, considerando o tempo atual."
1086,5,3,5,5,5,3,5,1,3,1,
1087,1,1,5,1,4,1,4,1,4,1,"Uma vez que o simulador já apresenta a data em que o servidor pode se aposentar, a partir de agora poderemos solicitar a aposentadoria antes, com os efeitos da aposentadoria na data definida pelo simulador?
Hoje temos que esperar a data para pedir a aposentadoria, e algumas vezes o processo pode demorar, fazendo que mesmo após cumprir os requisitos temos que esperar a publicação."
1088,5,1,5,1,5,1,5,1,5,1,
1089,5,5,4,5,4,2,1,5,2,5,"Eu tive muita dificuldade, mas agradeço a oportunidade."
1092,5,1,5,4,3,1,5,1,5,1,
1093,5,1,5,1,5,1,5,5,5,1,"Gostei muito do dispositivo que simula a aposentadoria, Utilizarei sempre que houver alguma alteração na minha condição funcional para que eu possa planejar minha aposentadoria de forma mais próxima da realidade, assim terei ideia de quanto receberei na ocasião em que estarei aposentada.

"
1094,3,1,5,1,3,1,5,1,3,1,
1095,3,5,2,5,3,4,3,4,2,5,
1096,3,3,2,4,3,3,2,4,2,3,Não
1097,5,4,5,1,1,4,4,1,5,1,"Boa Tarde,

Utilisei o simulador e achei bem simples e interativo, porém o sistema não conseguiu simular MINHA APOSENTADORIA POR MÉDIA ARITMETICA, disse que há inconsistência no meu CADASTRO, para eu procutrar o meu RH, lamentavel, pois mei acervo tá todo atualizado tenho centrze disso. JORGE ANTONIO PASSOS PADILHA, CPF 39614549300, SIAPE 1099319. estes são meus dados.  "
1098,5,5,5,5,5,5,5,5,5,5,"TEMPO DE SERVIÇO ERRADO

A data de admissão no serviço público é 13/06/1994

SEIS ANOS DE ERRO"
1100,5,1,5,1,5,1,5,1,5,1,Excelente! Parabéns pela iniciativa!
1102,1,1,5,1,3,3,3,1,3,1,
1105,4,1,4,1,5,1,4,1,5,1,"Achei muito prático e rápido, acredito que ira agilizar muito os processos. "
1107,1,1,5,5,5,1,1,1,4,1,Achei uma excelente iniciativa.
1109,4,4,4,4,4,1,1,4,4,1,
1110,4,2,4,1,3,1,5,4,5,3,Não
1111,5,1,5,1,5,1,5,1,5,1,Achei ótimo o simulador de aposentadoria.
1113,4,2,5,3,2,4,3,4,4,2,"Sugiro que dentre as opções de simulação de aposentadoria a regra de aposentadoria compulsória fosse o limite. Ao realizar uma simulação, o sistema demonstra a opção de regras acima dos 75 anos.
Também não apresenta o valor aproximado dos proventos com o percentual de médias conforme o tempo de serviço."
1114,1,5,1,5,1,5,1,5,1,5,
1119,5,1,5,5,1,5,3,1,5,1,"Não funcionou comigo o simulador, tenho pouco mais de 6 anos como servidor. Não sei porque não apareceu a projeção de aposentadoria. "
1120,5,4,2,4,1,1,3,3,3,1,"Seria interessante que o campo tempo no serviço público pudesse ser editável. Por exemplo: um servidor que trabalhou na esfera municipal ou estadual, não consegue fazer um cálculo preciso."
1123,4,3,3,3,3,4,4,2,2,3,"Para minha situação enquanto servidor público, ingresso em 2002 no serviço público municipal e 2007 no serviço público federal, as informações não são claras"
1124,5,1,5,2,5,2,5,1,5,1,Ótima ferramenta para nos ajudar a decidir sobre a melhor opção de aposentadoria.
1125,3,4,2,4,2,4,4,2,2,3,
1128,5,1,5,5,5,5,5,1,5,1,"no cálculo da minha aposentadoria possui uma inconsistência. costa como posse em 25/02/1997, porém abaixo 24 anos quando deveria constar 27 anos, inconsistência facilmente verificável.

Dados do Servidor
RENATO RABE
Matrícula
401161218024
CPF
01409707709
Data de Nascimento
11/09/1971
Sexo
MASCULINO
Data de Início no Serviço Público
25/02/1997
Data Referência
15/10/2024


 Idade Atual 53 1
Serviço Público 24 3
Contribuição / Tempo de Serviço 24 3
Cargo 24 3
Carreira 24 3"
1129,5,2,4,5,3,3,4,4,4,2,
1135,5,1,5,1,4,3,5,1,5,1,
1137,3,4,2,4,4,3,4,4,2,4,Colocar link para acesso a explicações sobre as vantagens e desvantagem de cada opção. 
1141,3,1,4,4,4,3,5,1,3,4,As diferentes opções precisam estar mais claras para o servidor. Fiquei confusa se faz na média ou paridade. Explicitar as diferenças ajudariam
1142,4,2,4,4,4,3,4,2,4,2,Ainda sem maiores informações.
1143,3,4,4,3,3,4,4,3,3,5,
1144,5,2,3,2,2,3,5,2,4,2,
1145,5,1,4,4,3,3,4,2,3,2,Ótima iniciativa. A legislação p aposentadoria é um labirinto.
1151,4,1,4,1,4,3,4,1,4,1,
1154,3,2,5,2,3,3,3,2,3,2,
1157,5,4,2,1,3,3,3,2,2,3,O simulador poderia apresentar um contra-cheque com os valores e descontos se a aposentadoria se desse no momento da simulação.
1158,4,2,5,5,5,1,5,1,5,3,
1161,4,5,4,1,2,1,4,1,3,3,"Peço que abra espaço para nós incluirmos de forma manual o período de RGPS ( tempo trabalhado contribuindo antes de ser servidor público) para assim ter uma simulação bem precisa.
Do jeito que está, ele só conta o período de RPPS a o objetivo do simulador se perde, pois, o tempo de aposentadoria aumenta consideravelmente."
1162,5,5,5,5,5,1,1,1,1,1,
1166,1,4,2,5,3,3,4,5,5,5,
1169,2,3,2,1,1,1,3,2,1,4,
1170,4,2,4,5,3,5,3,3,1,3,"Eu fui Técnico da Receita Federal e depois Analista de Comércio Exterior do MDIC, averbei o tempo como Técnico,  houve continuidade de um cargo para outro, mas o simulador não contou o tempo de Técnico da Receita
"
1171,5,2,4,1,2,3,5,2,4,2,Valores da aposentadoria; apresentar quais as regras mais vantajosas.
1172,2,2,2,1,2,3,2,3,3,3,Gostaria que tivesse um campo para incluir tempo do RGPS que ainda não consta da ficha funcional. 
1177,1,1,3,3,1,1,3,3,3,2,"Achei a ''pesquisa'' irrelevante; 
ainda, o sistema nao abre completamente toda vez. 
De fato, tentei enviar 4 vezes sem sucesso porque nunca se abriam todas as perguntas do itma 2.
 É para isso que incomodam a gente?

Quanto ao resultado do simulador, ele foi ridiculo. 
Segundo esse simulador, minha aposentadoria ocorreria em 2079."
1178,5,1,5,1,5,1,5,1,5,1,"Parabéns pelo desenvolvimento do Simulador de Aposentadoria!!
Essa ferramenta facilita muito a consulta sobre a expectativa de tempo para aposentadoria e o acesso a informações relevantes como a indicação do valor estimado a ser pago ao servidor a partir da aposentadoria.
Considero o uso da ferramenta fácil e intuitivo. 
Gostei muito!
"
1181,5,5,5,3,5,1,5,1,5,1,"Sem comentários adicionais.  Gostei muito do simulador, fácil e principalmente, não depender do RH."
1184,3,3,4,2,4,2,2,3,2,3,
1190,4,2,5,1,3,5,5,1,3,1,"Sugiro atentar para os tempos de lIP sem.pagto de contribuição, que foi meu caso. No final, não bateu o tempo de efetivo exercício nem o desconto dos dois anos de afastamento. "
1193,1,2,1,1,2,1,1,2,1,2,
1195,5,3,3,3,2,1,2,3,1,2,Não
1197,1,1,1,5,3,5,2,3,2,3,"No meu caso, o simulador tem uma falha grave, pois não leva em consideração a idade limite de trabalho (expulsória)."
1199,4,3,3,5,3,2,3,3,1,2,"No meu caso, que venho de empresa privada, e já sou aposentado pela previdência social - INSS , O SIMULADOR não faz nenhuma referência, estou com muita dificuldade de encontrar informação de como me desligar do Ministerio sem perder o beneficio da Funpresp a qual contribuo. Já me dirigi a vários depois deptos e nenhum me da qualquer informacao."
1202,5,5,5,4,5,1,5,1,5,1,"O ideal q com base no perfil  de cada servidor. O sistema  indicaria a melhor forma para o servidor aposentar,  depois de todos  requisitos preenchidos,  como no meu caso,  mais de 40 anos de contribuição e 64 anos de idade "
1203,4,3,4,4,3,3,4,4,3,3,"Me assustei ao ver o cálculo e confesso que não entendi.

"
1207,4,3,4,4,4,4,4,3,4,3,
1208,4,2,1,2,3,5,1,3,3,2,"Deveria ter opção de incluir dados para ser fidedigno o simulado. No meu caso aguardo uma averbação protocolado no SIPPS desde 2018 para acerto dos dados funcionais.

"
1211,5,3,3,3,3,3,3,1,5,1,"Não consegui saber o valor estimado que receberei por mês. Na última tela (passo 4) vem um resumo, mas não apresenta valor algum. Não ficou intuitivo. "
1213,5,5,5,2,5,1,4,1,5,1,
1214,5,1,5,1,4,2,5,1,5,1,"Falta o cálculo do BENEFÍCIO ESPECIAL do §1º do art. 3º da Lei 12.618/2012: garantido aos servidores que ingressaram no serviço público antes do RPC e fizeram a opção posteriormente.
Sou servidor efetivo desde 2008 e fiz a opção pelo limite ao teto de contribuição e pela Previdência Complementar em 2017. O cálculo do Benefício Especial é fundamental para o meu planejamento de aposentadoria. Sendo item importante para a decisão de maior ou menor investimento complementar na Funpresp."
1216,2,2,1,2,2,2,2,2,3,2,
1218,5,1,2,4,4,2,4,1,4,2,Minha sugestão é que o simulador aponte ao final da simulação qual é o mais indicado tipo de aposentadoria que deve utilizado pelo servidor. Isso ajudaria muito os servidores pouco familiarizados com o sistema de aponsentadoria.
1219,5,4,1,1,3,5,3,2,3,3,O meu tempo de serviço público não consta os mais de 13 anos que trabalhei no CEFET.  Só consta os mais de 23 anos da AGU. Logo não tenho como saber quando posso se aposentar.  No próprio simulador registra que eu entrei no serviço público federal em 01.04.1988 e consta o jeu tempo de serviço de 23 anos e 4 meses.  Seria bom que fosse concertado 
1220,2,3,3,2,2,3,3,3,3,3,"Seria interessante a possibilidade de integrar tempo anterior ao serviço público, de modo que a simulação seja mais condizente com a realidade. "
1221,5,4,4,5,4,3,2,4,3,3,
1224,5,1,5,1,2,2,5,1,4,5,
1227,2,2,2,1,2,2,2,2,1,2,Nao deu para simular pq diz que eu não tenho tempo de serviço 
1229,5,1,5,1,1,1,4,1,5,1,O simulador deveria ter um campo onde pudéssemos incluir outros tempos de contribuição que ainda não foram averbados na seção de pessoas. Assim posso optar pela averbação ou não do meu período como RGPS. 
1231,5,5,5,1,4,2,4,1,3,1,
1232,3,1,1,1,1,5,1,5,1,1,"SImulador é inutil , uma vez que não puxa o tempo de serviço privado e nem o tempo de serviço publico em outros orgaos. Computa apenas o tempo de serviço publico no orgao atual "
1235,3,2,4,3,4,4,2,4,4,3,Há discordância dos dados
1237,5,3,3,4,3,3,3,3,3,3,Poderia simular para servidor pcd..
1239,4,5,2,4,2,5,2,5,1,3,"No meu caso, os anos que trabalhei na esfera municipal não estão sendo contabilizados, mesmo eu não tendo tido período de vacância."
1241,5,2,4,4,3,2,5,2,4,2,"É importante o servidor saber a sua dura realidade de perda de salário quando se aposentar.
Torso para que esse simulador não se torne um gatilho para desenvolvimento de depressão "
1247,4,4,2,4,2,4,2,4,2,2,Incluir a simulação do Benefício Especial para quem migrou para RPC
1249,3,1,5,1,2,3,5,1,5,1,"Sugiro que vocês atualizem uma vez por ano (mês a escolher) o tempo que falta para a aposentadoria do servidor. O próprio questionário apresenta instabilidade, solicitando que se responda perguntas que já foram respondidas."
1252,5,1,5,2,5,1,5,1,5,1,
1260,3,3,5,3,4,2,5,1,4,3,
1263,5,1,5,1,5,1,5,1,5,1,Deveria ter um link  dentro do simulador para solicitar aposentadoria . O processo de pedido demora muito tempo e os envolvidos nos trâmites não dão a devida importância e urgência para os requerentes . Estou nesta situação há  3 meses ....
1270,5,1,5,1,5,2,4,1,5,4,
1273,3,1,5,1,5,1,5,1,5,1,
1275,2,2,4,2,4,2,4,2,1,2,
1279,2,2,2,2,2,2,2,2,1,1,As alternativas de aposentadorias estavam um pouco confusas.
1282,3,3,3,3,3,3,3,3,3,3,"É necessário que a simulação apresente o valor do Benefício Especial, se não acaba não tendo serventia para o servidor que tenha direito a essa parcela.
Ademais, o simulador apenas apresenta o índice de correção dos valores das remunerações recebidas, sem apresentar  uma simulação de valor de aposentadoria."
1284,4,1,5,2,4,1,5,1,4,1,Bastante objetivo e fácil de usar. Poderia haver ícones que informem sobre a legislação de cada opção.
1288,2,2,4,1,2,2,4,2,4,1,Não tem tanta função para usar com frequência
1289,4,1,5,2,1,5,3,1,2,1,"Não funciona. Não calculou a estimativa de preenchimento dos requisitos. Também acredito que a citação da legislação tá equivocada. Para professor atualmente, se eu não estiver enganado, a idade mínima é 60 anos homem e 57 mulher.
Também não calculou a estimativa do provento. Deu R$ 0,00."
1292,5,4,4,4,3,3,3,4,4,4,"Devem ter mais clareza de escolha do artigo que devemos escolher para aposentadoria, visto que, temos muitas duvidas e pouco esclarecimento da opção.
Deveria ter de imediato a melhor opção."
1297,5,2,5,4,4,1,4,1,5,1,"Fundamental esta ferramenta para que o servidor possa está ciente de quando usufruir de seu benefício.
Parabéns pela iniciativa."
1299,5,4,2,4,3,3,4,5,3,3,Não
1300,5,2,5,2,5,3,5,2,4,3,
1301,4,3,3,5,3,3,3,3,3,3,"A dificuldade não está na utilização do simulador em si, mas sim em estabelecer a fundamentação legal em que melhor me encaixo: EC103 10 §1º I    ou     EC103 20 §2º II - PEDAGIO - MEDIA"
1302,5,1,2,3,2,1,5,4,5,1,O simulador não fornece o salário líquido após a aposentadoria.. Eu não tenho certeza de quanto será a perda.
1306,5,1,5,1,5,1,5,1,5,1,
1310,5,2,4,2,1,2,4,1,4,1,Sugiro incluir no simulador de aposentadoria calculo para quem fez a migração para o RPC bem como do beneficio especial. 
1314,5,1,5,1,5,1,5,1,5,1,"A iniciativa é louvável, mas abaixo da apresentação das bases legais deveria haver uma explicação mais detalhada sobre o tempo previsto. Por exemplo, a desastrosa reforma previdenciária de 2019 introduziu 'pedágios' que destruíram uma longa expectativa de aposentadoria para a minoria que entrou no serviço público federal antes de 2003. Nesse quesito, deveria ser claramente detalhado o tempo referente ao tal 'pedágio' e não apenas exibir o novo tempo total previsto para a aposentadoria. Grato."
1315,2,2,1,2,2,1,2,1,2,2,
1317,4,5,1,5,3,5,1,5,1,4,Não deu pra entender de fato as condições apresentadas para aposentação na simulação que eu fiz.
1323,3,1,3,2,3,1,5,1,4,2,
1329,4,4,3,1,4,4,5,4,3,1,
1332,5,4,4,2,3,3,3,4,4,2,
1335,5,2,5,2,5,2,4,2,4,2,"Agradeço a oportunidade. Estou com processo de aposentadoria mas a ""gestão de pessoas"" do IFMG-GV dispôs uma simulação com previsão diferente. Só que as certidões de tempo de contribuição são as mesmas que alimentei esse app e que eu juntei ao meu órgão, no processo de aposentadoria. O que vocês acham?"
1339,4,5,1,5,1,5,1,5,1,3,"Entro com TODAS as simulações possíveis e nenhuma me apresenta um resultado com as informações que deveriam aparecer: aparecem em branco ou R$0,00 por exemplo. Em NENHUMA opção eu consigo simular, enquanto outros colegas servidores aparecem as informações. Há necessidade de aprimoramento de plataforma para incluir a simulação de todos os servidores federais, incluindo docentes."
1341,4,2,4,3,3,2,4,2,3,2,"Os dados parecem bem claros, poderiam usar cores para enfatizar as opções de aposentadoria."
1343,5,1,5,2,5,1,5,1,5,1,Ótima iniciativa que muito contribui para o planejamento de vida do servidor público.
1344,4,1,5,1,5,1,1,1,5,1,Não possuo
1345,5,5,1,5,3,5,2,2,1,5,"Não tenho conhecimento suficiente para entender as simulações apresentadas no simulador. 
São tantas leis que acabei me perdendo no meio do caminho.
Com certeza se faz necessária a presença de um servidor com total conhecimento de leis para explicar qual a real situação quando da época de minha aposentadoria.
Mas acho válido o simulador e parabenizo quem o idealizou."
1346,4,2,4,2,4,2,4,2,4,2,Acho que deveriam incrementar o simulador com perguntas sobre se a aposentadoria é com isenção de imposto de renda ou por invalidez
1349,3,3,3,3,3,3,3,3,3,3,
1352,2,2,4,2,4,2,4,2,4,1,Não
1355,5,1,5,1,5,1,5,1,2,2,"Foi uma iniciativa muito relevante. Gostaria de sugerir se possível, já que está simulando valores, mais detalhes , quase como um contra cheque de aposentado."
